,State_code,District_code,Area_name,Age_grp,T_P,T_M,T_F,R_P,R_M,R_F,U_P,U_M,U_F
754,23,000,State - MADHYA PRADESH (23),50-69,8166920,4146233,4020687,5776192,2901637,2874555,2390728,1244596,1146132
755,23,000,State - MADHYA PRADESH (23),70+,2298845,1100088,1198757,1703051,818793,884258,595794,281295,314499
455,23,000,State - MADHYA PRADESH (23),Age not stated,82862,43376,39486,47310,24875,22435,35552,18501,17051
437,23,000,State - MADHYA PRADESH (23),All ages,72626809,37612306,35014503,52557404,27149388,25408016,20069405,10462918,9606487
457,24,000,State - GUJARAT (24),0-4,5460332,2871890,2588442,3400893,1768858,1632035,2059439,1103032,956407
459,24,000,State - GUJARAT (24),10-14,6149445,3283834,2865611,3787881,1989379,1798502,2361564,1294455,1067109
460,24,000,State - GUJARAT (24),15-19,5865760,3146110,2719650,3406534,1781574,1624960,2459226,1364536,1094690
461,24,000,State - GUJARAT (24),20-24,5780722,3046127,2734595,3129114,1613761,1515353,2651608,1432366,1219242
462,24,000,State - GUJARAT (24),25-29,5278822,2767283,2511539,2767541,1439403,1328138,2511281,1327880,1183401
756,24,000,State - GUJARAT (24),30-49,16291242,8431107,7860135,8927464,4575469,4351995,7363778,3855638,3508140
458,24,000,State - GUJARAT (24),5-9,5835836,3126401,2709435,3608635,1902056,1706579,2227201,1224345,1002856
757,24,000,State - GUJARAT (24),50-69,7649954,3848622,3801332,4396851,2160087,2236764,3253103,1688535,1564568
758,24,000,State - GUJARAT (24),70+,1888735,844340,1044395,1154014,509299,644715,734721,335041,399680
474,24,000,State - GUJARAT (24),Age not stated,238844,125546,113298,115682,59273,56409,123162,66273,56889
456,24,000,State - GUJARAT (24),All ages,60439692,31491260,28948432,34694609,17799159,16895450,25745083,13692101,12052982
476,25,000,State - DAMAN & DIU (25),0-4,19158,10020,9138,5174,2692,2482,13984,7328,6656
478,25,000,State - DAMAN & DIU (25),10-14,17321,9300,8021,6335,3302,3033,10986,5998,4988
479,25,000,State - DAMAN & DIU (25),15-19,26314,18239,8075,6655,3766,2889,19659,14473,5186
480,25,000,State - DAMAN & DIU (25),20-24,38584,27925,10659,7024,4117,2907,31560,23808,7752
481,25,000,State - DAMAN & DIU (25),25-29,33181,22044,11137,6125,3416,2709,27056,18628,8428
759,25,000,State - DAMAN & DIU (25),30-49,66800,41602,25198,16013,8825,7188,50787,32777,18010
477,25,000,State - DAMAN & DIU (25),5-9,18506,9828,8678,5767,2982,2785,12739,6846,5893
760,25,000,State - DAMAN & DIU (25),50-69,18727,9381,9346,5895,2753,3142,12832,6628,6204
761,25,000,State - DAMAN & DIU (25),70+,4300,1714,2586,1325,499,826,2975,1215,1760
493,25,000,State - DAMAN & DIU (25),Age not stated,356,248,108,83,43,40,273,205,68
475,25,000,State - DAMAN & DIU (25),All ages,243247,150301,92946,60396,32395,28001,182851,117906,64945
495,26,000,State - DADRA & NAGAR HAVELI (26),0-4,36561,18902,17659,20601,10410,10191,15960,8492,7468
497,26,000,State - DADRA & NAGAR HAVELI (26),10-14,35003,18385,16618,22352,11564,10788,12651,6821,5830
498,26,000,State - DADRA & NAGAR HAVELI (26),15-19,33104,19979,13125,19013,10775,8238,14091,9204,4887
499,26,000,State - DADRA & NAGAR HAVELI (26),20-24,44301,27595,16706,21932,13066,8866,22369,14529,7840
500,26,000,State - DADRA & NAGAR HAVELI (26),25-29,39885,23496,16389,17657,10255,7402,22228,13241,8987
762,26,000,State - DADRA & NAGAR HAVELI (26),30-49,87888,51044,36844,41722,22528,19194,46166,28516,17650
496,26,000,State - DADRA & NAGAR HAVELI (26),5-9,36249,19059,17190,21040,10794,10246,15209,8265,6944
763,26,000,State - DADRA & NAGAR HAVELI (26),50-69,26001,13290,12711,16016,7807,8209,9985,5483,4502
764,26,000,State - DADRA & NAGAR HAVELI (26),70+,4345,1810,2535,2561,993,1568,1784,817,967
512,26,000,State - DADRA & NAGAR HAVELI (26),Age not stated,372,200,172,220,113,107,152,87,65
494,26,000,State - DADRA & NAGAR HAVELI (26),All ages,343709,193760,149949,183114,98305,84809,160595,95455,65140
514,27,000,State - MAHARASHTRA (27),0-4,9362026,4939629,4422397,5417809,2868371,2549438,3944217,2071258,1872959
516,27,000,State - MAHARASHTRA (27),10-14,10734535,5662261,5072274,6256057,3288156,2967901,4478478,2374105,2104373
517,27,000,State - MAHARASHTRA (27),15-19,10627267,5710400,4916867,5979665,3209224,2770441,4647602,2501176,2146426
518,27,000,State - MAHARASHTRA (27),20-24,11090966,5845114,5245852,5764844,3018199,2746645,5326122,2826915,2499207
519,27,000,State - MAHARASHTRA (27),25-29,10147113,5272560,4874553,5025278,2589352,2435926,5121835,2683208,2438627
765,27,000,State - MAHARASHTRA (27),30-49,30272010,15606774,14665236,15549255,7862125,7687130,14722755,7744649,6978106
515,27,000,State - MAHARASHTRA (27),5-9,9820654,5178177,4642477,5650613,2971867,2678746,4170041,2206310,1963731
766,27,000,State - MAHARASHTRA (27),50-69,15525963,7711997,7813966,8901339,4274824,4626515,6624624,3437173,3187451
767,27,000,State - MAHARASHTRA (27),70+,4386103,2096832,2289271,2805285,1348193,1457092,1580818,748639,832179
531,27,000,State - MAHARASHTRA (27),Age not stated,407696,219312,188384,205929,108723,97206,201767,110589,91178
513,27,000,State - MAHARASHTRA (27),All ages,112374333,58243056,54131277,61556074,31539034,30017040,50818259,26704022,24114237
533,28,000,State - ANDHRA PRADESH (28),0-4,6284765,3235887,3048878,4212158,2165606,2046552,2072607,1070281,1002326
535,28,000,State - ANDHRA PRADESH (28),10-14,8201595,4208884,3992711,5565402,2859860,2705542,2636193,1349024,1287169
536,28,000,State - ANDHRA PRADESH (28),15-19,8093747,4196307,3897440,5334069,2799993,2534076,2759678,1396314,1363364
537,28,000,State - ANDHRA PRADESH (28),20-24,8132094,4055697,4076397,5263277,2682670,2580607,2868817,1373027,1495790
538,28,000,State - ANDHRA PRADESH (28),25-29,7799036,3809887,3989149,4995581,2453142,2542439,2803455,1356745,1446710
768,28,000,State - ANDHRA PRADESH (28),30-49,23148452,11667950,11480502,15088178,7540774,7547404,8060274,4127176,3933098
534,28,000,State - ANDHRA PRADESH (28),5-9,7304432,3760398,3544034,4976869,2559092,2417777,2327563,1201306,1126257
769,28,000,State - ANDHRA PRADESH (28),50-69,11934675,5733246,6201429,8383893,3948654,4435239,3550782,1784592,1766190
770,28,000,State - ANDHRA PRADESH (28),70+,2910550,1386204,1524346,2140837,1031836,1109001,769713,354368,415345
550,28,000,State - ANDHRA PRADESH (28),Age not stated,771431,387686,383745,401438,201614,199824,369993,186072,183921
532,28,000,State - ANDHRA PRADESH (28),All ages,84580777,42442146,42138631,56361702,28243241,28118461,28219075,14198905,14020170
552,29,000,State - KARNATAKA (29),0-4,5046719,2582024,2464695,3179495,1625896,1553599,1867224,956128,911096
554,29,000,State - KARNATAKA (29),10-14,5736646,2955287,2781359,3662475,1889725,1772750,2074171,1065562,1008609
555,29,000,State - KARNATAKA (29),15-19,5827277,3042048,2785229,3658264,1933809,1724455,2169013,1108239,1060774
556,29,000,State - KARNATAKA (29),20-24,6052558,3109586,2942972,3549425,1849584,1699841,2503133,1260002,1243131
557,29,000,State - KARNATAKA (29),25-29,5771606,2879254,2892352,3283508,1645487,1638021,2488098,1233767,1254331
771,29,000,State - KARNATAKA (29),30-49,16740325,8491283,8249042,9914738,4957281,4957457,6825587,3534002,3291585
553,29,000,State - KARNATAKA (29),5-9,5241509,2696670,2544839,3309619,1700617,1609002,1931890,996053,935837
772,29,000,State - KARNATAKA (29),50-69,8421945,4156340,4265605,5380650,2615007,2765643,3041295,1541333,1499962
773,29,000,State - KARNATAKA (29),70+,2210861,1028755,1182106,1505332,697995,807337,705529,330760,374769
569,29,000,State - KARNATAKA (29),Age not stated,45851,25410,20441,25829,13953,11876,20022,11457,8565
551,29,000,State - KARNATAKA (29),All ages,61095297,30966657,30128640,37469335,18929354,18539981,23625962,12037303,11588659
571,30,000,State - GOA (30),0-4,101203,52017,49186,37839,19432,18407,63364,32585,30779
573,30,000,State - GOA (30),10-14,110989,57417,53572,41666,21304,20362,69323,36113,33210
574,30,000,State - GOA (30),15-19,113875,60075,53800,42371,22000,20371,71504,38075,33429
575,30,000,State - GOA (30),20-24,130745,70616,60129,47290,24590,22700,83455,46026,37429
576,30,000,State - GOA (30),25-29,132626,67744,64882,49917,25250,24667,82709,42494,40215
774,30,000,State - GOA (30),30-49,455405,230383,225022,172639,86834,85805,282766,143549,139217
572,30,000,State - GOA (30),5-9,105968,54672,51296,39364,20165,19199,66604,34507,32097
775,30,000,State - GOA (30),50-69,244268,118908,125360,95126,45198,49928,149142,73710,75432
776,30,000,State - GOA (30),70+,61372,26210,35162,24601,10179,14422,36771,16031,20740
588,30,000,State - GOA (30),Age not stated,2094,1098,996,918,484,434,1176,614,562
570,30,000,State - GOA (30),All ages,1458545,739140,719405,551731,275436,276295,906814,463704,443110
590,31,000,State - LAKSHADWEEP (31),0-4,5052,2648,2404,1235,630,605,3817,2018,1799
592,31,000,State - LAKSHADWEEP (31),10-14,5998,2854,3144,1389,612,777,4609,2242,2367
593,31,000,State - LAKSHADWEEP (31),15-19,5624,2808,2816,1147,525,622,4477,2283,2194
594,31,000,State - LAKSHADWEEP (31),20-24,5829,3071,2758,1280,680,600,4549,2391,2158
595,31,000,State - LAKSHADWEEP (31),25-29,5967,3135,2832,1305,682,623,4662,2453,2209
777,31,000,State - LAKSHADWEEP (31),30-49,19244,9961,9283,4029,2115,1914,15215,7846,7369
591,31,000,State - LAKSHADWEEP (31),5-9,5407,2760,2647,1384,728,656,4023,2032,1991
778,31,000,State - LAKSHADWEEP (31),50-69,9414,4937,4477,1990,1068,922,7424,3869,3555
779,31,000,State - LAKSHADWEEP (31),70+,1823,875,948,355,183,172,1468,692,776
607,31,000,State - LAKSHADWEEP (31),Age not stated,115,74,41,27,20,7,88,54,34
589,31,000,State - LAKSHADWEEP (31),All ages,64473,33123,31350,14141,7243,6898,50332,25880,24452
609,32,000,State - KERALA (32),0-4,2453092,1247534,1205558,1286340,653809,632531,1166752,593725,573027
611,32,000,State - KERALA (32),10-14,2822770,1438917,1383853,1499338,762897,736441,1323432,676020,647412
612,32,000,State - KERALA (32),15-19,2610552,1328299,1282253,1365813,696204,669609,1244739,632095,612644
613,32,000,State - KERALA (32),20-24,2665809,1298826,1366983,1386061,680283,705778,1279748,618543,661205
614,32,000,State - KERALA (32),25-29,2604092,1203978,1400114,1369036,639039,729997,1235056,564939,670117
780,32,000,State - KERALA (32),30-49,9796202,4513058,5283144,5096909,2357969,2738940,4699293,2155089,2544204
610,32,000,State - KERALA (32),5-9,2555112,1303190,1251922,1348204,687077,661127,1206908,616113,590795
781,32,000,State - KERALA (32),50-69,6087358,2937086,3150272,3154757,1523691,1631066,2932601,1413395,1519206
782,32,000,State - KERALA (32),70+,1776588,739227,1037361,947340,398406,548934,829248,340821,488427
626,32,000,State - KERALA (32),Age not stated,34486,17297,17189,17337,8679,8658,17149,8618,8531
608,32,000,State - KERALA (32),All ages,33406061,16027412,17378649,17471135,8408054,9063081,15934926,7619358,8315568
628,33,000,State - TAMIL NADU (33),0-4,5278701,2714578,2564123,2781879,1436619,1345260,2496822,1277959,1218863
630,33,000,State - TAMIL NADU (33),10-14,6177547,3188990,2988557,3325160,1726166,1598994,2852387,1462824,1389563
631,33,000,State - TAMIL NADU (33),15-19,6253792,3229838,3023954,3373098,1765233,1607865,2880694,1464605,1416089
632,33,000,State - TAMIL NADU (33),20-24,6411543,3154804,3256739,3315234,1658770,1656464,3096309,1496034,1600275
633,33,000,State - TAMIL NADU (33),25-29,6663746,3237374,3426372,3360498,1652498,1708000,3303248,1584876,1718372
783,33,000,State - TAMIL NADU (33),30-49,21429281,10648715,10780566,10599054,5226834,5372220,10830227,5421881,5408346
629,33,000,State - TAMIL NADU (33),5-9,5551255,2851293,2699962,2968536,1528954,1439582,2582719,1322339,1260380
784,33,000,State - TAMIL NADU (33),50-69,11455580,5690938,5764642,5948176,2908646,3039530,5507404,2782292,2725112
785,33,000,State - TAMIL NADU (33),70+,2858780,1386775,1472005,1522074,756725,765349,1336706,630050,706656
645,33,000,State - TAMIL NADU (33),Age not stated,66805,34670,32135,35881,18620,17261,30924,16050,14874
627,33,000,State - TAMIL NADU (33),All ages,72147030,36137975,36009055,37229590,18679065,18550525,34917440,17458910,17458530
647,34,000,State - PUDUCHERRY (34),0-4,93949,47703,46246,31526,16110,15416,62423,31593,30830
649,34,000,State - PUDUCHERRY (34),10-14,105726,53936,51790,35351,17972,17379,70375,35964,34411
650,34,000,State - PUDUCHERRY (34),15-19,102316,52231,50085,34019,17394,16625,68297,34837,33460
651,34,000,State - PUDUCHERRY (34),20-24,108819,51287,57532,36272,17155,19117,72547,34132,38415
652,34,000,State - PUDUCHERRY (34),25-29,118244,55052,63192,38840,18442,20398,79404,36610,42794
786,34,000,State - PUDUCHERRY (34),30-49,387613,192523,195090,117105,58638,58467,270508,133885,136623
648,34,000,State - PUDUCHERRY (34),5-9,98717,50327,48390,32968,16810,16158,65749,33517,32232
787,34,000,State - PUDUCHERRY (34),50-69,182843,88125,94718,54067,25672,28395,128776,62453,66323
788,34,000,State - PUDUCHERRY (34),70+,48625,20767,27858,14554,6456,8098,34071,14311,19760
664,34,000,State - PUDUCHERRY (34),Age not stated,1101,560,541,498,258,240,603,302,301
646,34,000,State - PUDUCHERRY (34),All ages,1247953,612511,635442,395200,194907,200293,852753,417604,435149
666,35,000,State - ANDAMAN & NICOBAR ISLANDS (35),0-4,28754,14641,14113,18675,9469,9206,10079,5172,4907
668,35,000,State - ANDAMAN & NICOBAR ISLANDS (35),10-14,33467,17118,16349,21226,10731,10495,12241,6387,5854
669,35,000,State - ANDAMAN & NICOBAR ISLANDS (35),15-19,33026,17266,15760,20369,10644,9725,12657,6622,6035
670,35,000,State - ANDAMAN & NICOBAR ISLANDS (35),20-24,37115,19528,17587,22540,11654,10886,14575,7874,6701
671,35,000,State - ANDAMAN & NICOBAR ISLANDS (35),25-29,41722,22230,19492,25558,13675,11883,16164,8555,7609
789,35,000,State - ANDAMAN & NICOBAR ISLANDS (35),30-49,119161,64612,54549,72004,39281,32723,47157,25331,21826
667,35,000,State - ANDAMAN & NICOBAR ISLANDS (35),5-9,30454,15512,14942,19265,9849,9416,11189,5663,5526
790,35,000,State - ANDAMAN & NICOBAR ISLANDS (35),50-69,47692,26817,20875,30908,17252,13656,16784,9565,7219
791,35,000,State - ANDAMAN & NICOBAR ISLANDS (35),70+,8822,4952,3870,6368,3631,2737,2454,1321,1133
683,35,000,State - ANDAMAN & NICOBAR ISLANDS (35),Age not stated,368,195,173,180,101,79,188,94,94
665,35,000,State - ANDAMAN & NICOBAR ISLANDS (35),All ages,380581,202871,177710,237093,126287,110806,143488,76584,66904
