,State_code,District_code,Area_name,Age_grp,T_P,T_M,T_F,R_P,R_M,R_F,U_P,U_M,U_F
699,05,000,State - UTTARAKHAND (05),30-49,2419886,1209774,1210112,1605056,785147,819909,814830,424627,390203
97,05,000,State - UTTARAKHAND (05),5-9,1058801,560179,498622,770582,404255,366327,288219,155924,132295
700,05,000,State - UTTARAKHAND (05),50-69,1263434,625521,637913,899333,432102,467231,364101,193419,170682
701,05,000,State - UTTARAKHAND (05),70+,352994,170265,182729,268121,127498,140623,84873,42767,42106
113,05,000,State - UTTARAKHAND (05),Age not stated,16608,9312,7296,10472,5748,4724,6136,3564,2572
95,05,000,State - UTTARAKHAND (05),All ages,10086292,5137773,4948519,7036954,3519042,3517912,3049338,1618731,1430607
115,06,000,State - HARYANA (06),0-4,2362519,1283789,1078730,1602923,870623,732300,759596,413166,346430
117,06,000,State - HARYANA (06),10-14,2668678,1474136,1194542,1812859,996086,816773,855819,478050,377769
118,06,000,State - HARYANA (06),15-19,2677390,1487548,1189842,1799991,994391,805600,877399,493157,384242
119,06,000,State - HARYANA (06),20-24,2567486,1372799,1194687,1658579,889577,769002,908907,483222,425685
120,06,000,State - HARYANA (06),25-29,2231959,1178340,1053619,1384241,737729,646512,847718,440611,407107
702,06,000,State - HARYANA (06),30-49,6403218,3335891,3067327,3984236,2074213,1910023,2418982,1261678,1157304
116,06,000,State - HARYANA (06),5-9,2498757,1371825,1126932,1679882,920472,759410,818875,451353,367522
703,06,000,State - HARYANA (06),50-69,3064954,1554125,1510829,1970560,983214,987346,1094394,570911,523483
704,06,000,State - HARYANA (06),70+,844967,419393,425574,595507,296690,298817,249460,122703,126757
132,06,000,State - HARYANA (06),Age not stated,31534,16888,14646,20581,11011,9570,10953,5877,5076
114,06,000,State - HARYANA (06),All ages,25351462,13494734,11856728,16509359,8774006,7735353,8842103,4720728,4121375
134,07,000,State - NCT OF DELHI (07),0-4,1381200,734336,646864,39125,21481,17644,1342075,712855,629220
136,07,000,State - NCT OF DELHI (07),10-14,1648147,895446,752701,45883,25479,20404,1602264,869967,732297
137,07,000,State - NCT OF DELHI (07),15-19,1667375,925118,742257,44367,24916,19451,1623008,900202,722806
138,07,000,State - NCT OF DELHI (07),20-24,1764060,951411,812649,44407,23805,20602,1719653,927606,792047
139,07,000,State - NCT OF DELHI (07),25-29,1668326,878196,790130,39250,20584,18666,1629076,857612,771464
705,07,000,State - NCT OF DELHI (07),30-49,4762353,2541995,2220358,111119,59330,51789,4651234,2482665,2168569
135,07,000,State - NCT OF DELHI (07),5-9,1535972,829487,706485,42594,23698,18896,1493378,805789,687589
706,07,000,State - NCT OF DELHI (07),50-69,1940832,1022908,917924,42393,22114,20279,1898439,1000794,897645
707,07,000,State - NCT OF DELHI (07),70+,402974,199254,203720,9387,4633,4754,393587,194621,198966
151,07,000,State - NCT OF DELHI (07),Age not stated,16702,9175,7527,517,281,236,16185,8894,7291
133,07,000,State - NCT OF DELHI (07),All ages,16787941,8987326,7800615,419042,226321,192721,16368899,8761005,7607894
153,08,000,State - RAJASTHAN (08),0-4,7302170,3858574,3443596,5770924,3045730,2725194,1531246,812844,718402
155,08,000,State - RAJASTHAN (08),10-14,8380518,4430696,3949822,6537189,3446732,3090457,1843329,983964,859365
156,08,000,State - RAJASTHAN (08),15-19,7314017,3889874,3424143,5496935,2918083,2578852,1817082,971791,845291
157,08,000,State - RAJASTHAN (08),20-24,6426494,3377483,3049011,4682761,2471674,2211087,1743733,905809,837924
158,08,000,State - RAJASTHAN (08),25-29,5348497,2763059,2585438,3832693,1981853,1850840,1515804,781206,734598
708,08,000,State - RAJASTHAN (08),30-49,15938006,8121787,7816219,11513684,5842607,5671077,4424322,2279180,2145142
154,08,000,State - RAJASTHAN (08),5-9,8042738,4258873,3783865,6326379,3336981,2989398,1716359,921892,794467
709,08,000,State - RAJASTHAN (08),50-69,7444772,3754368,3690404,5516157,2751911,2764246,1928615,1002457,926158
710,08,000,State - RAJASTHAN (08),70+,2081623,958768,1122855,1609143,737520,871623,472480,221248,251232
170,08,000,State - RAJASTHAN (08),Age not stated,269602,137515,132087,214487,108656,105831,55115,28859,26256
152,08,000,State - RAJASTHAN (08),All ages,68548437,35550997,32997440,51500352,26641747,24858605,17048085,8909250,8138835
172,09,000,State - UTTAR PRADESH (09),0-4,20376668,10660474,9716194,16556223,8640363,7915860,3820445,2020111,1800334
174,09,000,State - UTTAR PRADESH (09),10-14,25869881,13679154,12190727,20773940,10962322,9811618,5095941,2716832,2379109
175,09,000,State - UTTAR PRADESH (09),15-19,23040380,12307573,10732807,17779084,9493418,8285666,5261296,2814155,2447141
176,09,000,State - UTTAR PRADESH (09),20-24,17578648,9405485,8173163,12989044,6927701,6061343,4589604,2477784,2111820
177,09,000,State - UTTAR PRADESH (09),25-29,14579829,7466367,7113462,10860729,5531452,5329277,3719100,1934915,1784185
711,09,000,State - UTTAR PRADESH (09),30-49,44192083,22609942,21582141,33297613,16968156,16329457,10894470,5641786,5252684
173,09,000,State - UTTAR PRADESH (09),5-9,25061717,13250331,11811386,20362456,10744603,9617853,4699261,2505728,2193533
712,09,000,State - UTTAR PRADESH (09),50-69,21596329,11125361,10470968,16751732,8569570,8182162,4844597,2555791,2288806
713,09,000,State - UTTAR PRADESH (09),70+,5894744,3109890,2784854,4774027,2531030,2242997,1120717,578860,541857
189,09,000,State - UTTAR PRADESH (09),Age not stated,1622062,865933,756129,1172430,624380,548050,449632,241553,208079
171,09,000,State - UTTAR PRADESH (09),All ages,199812341,104480510,95331831,155317278,80992995,74324283,44495063,23487515,21007548
191,10,000,State - BIHAR (10),0-4,12765029,6576871,6188158,11600288,5969825,5630463,1164741,607046,557695
193,10,000,State - BIHAR (10),10-14,13919882,7323831,6596051,12472947,6563975,5908972,1446935,759856,687079
194,10,000,State - BIHAR (10),15-19,9472695,5290581,4182114,8243729,4622498,3621231,1228966,668083,560883
195,10,000,State - BIHAR (10),20-24,8064735,4210585,3854150,7011053,3644529,3366524,1053682,566056,487626
196,10,000,State - BIHAR (10),25-29,7671705,3828687,3843018,6722688,3340162,3382526,949017,488525,460492
714,10,000,State - BIHAR (10),30-49,22949064,11785560,11163504,20106696,10300146,9806550,2842368,1485414,1356954
192,10,000,State - BIHAR (10),5-9,15036277,7796359,7239918,13630801,7057963,6572838,1405476,738396,667080
715,10,000,State - BIHAR (10),50-69,11207205,5802424,5404781,9884100,5099038,4785062,1323105,703386,619719
716,10,000,State - BIHAR (10),70+,2609358,1442950,1166408,2320109,1285167,1034942,289249,157783,131466
208,10,000,State - BIHAR (10),Age not stated,403502,220309,183193,349025,190547,158478,54477,29762,24715
190,10,000,State - BIHAR (10),All ages,104099452,54278157,49821295,92341436,48073850,44267586,11758016,6204307,5553709
210,11,000,State - SIKKIM (11),0-4,42336,21685,20651,32382,16541,15841,9954,5144,4810
