,State_Code,District_code,Area_name,Type,Age_grp,Total_Person,Total_Male,Total_Female,Illiterate_Person,Illiterate_Male,Illiterate_Female,Literate_Person,Literate_Male,Literate_Female,Literate but below primary_Person,Literate but below primary_Male,Literate but below primary_Female,Primary but below middle_Person,Primary but below middle_Male,Primary but below middle_Female,Middle but below matric/secondary_Person,Middle but below matric/secondary_Male,Middle but below matric/secondary_Female,Matric/Secondary but below graduate_Person,Matric/Secondary but below graduate_Male,Matric/Secondary but below graduate_Female,Graduate and above_Person,Graduate and above_Male,Graduate and above_Female
30,00,000,INDIA,Total,65-69,26454983,12944326,13510657,14829607,5145133,9684474,11625376,7799193,3826183,2381245,1430887,950358,3033591,1922936,1110655,1477355,1041615,435740,2557373,1943825,613548,1089553,864263,225290
31,00,000,INDIA,Total,70-74,19208842,9651499,9557343,11568624,4369752,7198872,7640218,5281747,2358471,1726047,1094774,631273,2048788,1368272,680516,887026,646602,240424,1525383,1192867,332516,661941,535931,126010
32,00,000,INDIA,Total,75-79,9232503,4490603,4741900,5361192,1890685,3470507,3871311,2599918,1271393,950043,582371,367672,1020269,655496,364773,427468,301083,126385,744997,575919,169078,327998,268932,59066
33,00,000,INDIA,Total,80+,11289005,5283695,6005310,6890447,2456492,4433955,4398558,2827203,1571355,1061493,643700,417793,1166551,740460,426091,529950,354064,175886,788887,568482,220405,339629,250257,89372
34,00,000,INDIA,Total,Age not stated,4489802,2372881,2116921,1591212,666117,925095,2898590,1706764,1191826,448130,240346,207784,501403,270429,230974,358362,213844,144518,588672,361125,227547,282186,171518,110668
35,00,000,INDIA,Rural,All ages,833748852,427781058,405967794,350955017,146419684,204535333,482793835,281361374,201432461,109643998,59106785,50537213,130265150,71805082,58460068,90343798,53864377,36479421,105238622,66910802,38327820,22339967,15659295,6680672
36,00,000,INDIA,Rural,0-6,121322865,63084449,58238416,121322865,63084449,58238416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,00,000,INDIA,Rural,7,18149844,9399767,8750077,5295256,2642438,2652818,12854588,6757329,6097259,12458444,6528549,5929895,0,0,0,0,0,0,0,0,0,0,0,0
38,00,000,INDIA,Rural,8,20206981,10497018,9709963,3339350,1613098,1726252,16867631,8883920,7983711,16538691,8697645,7841046,0,0,0,0,0,0,0,0,0,0,0,0
39,00,000,INDIA,Rural,9,17114582,8880402,8234180,1967000,932962,1034038,15147582,7947440,7200142,13264857,6962530,6302327,1623885,838598,785287,0,0,0,0,0,0,0,0,0
40,00,000,INDIA,Rural,10,22687766,11899758,10788008,2745021,1299553,1445468,19942745,10600205,9342540,13495735,7200359,6295376,6102915,3203214,2899701,0,0,0,0,0,0,0,0,0
41,00,000,INDIA,Rural,11,17851313,9319598,8531715,1553637,710896,842741,16297676,8608702,7688974,6058216,3248670,2809546,9975863,5211564,4764299,0,0,0,0,0,0,0,0,0
42,00,000,INDIA,Rural,12,20589319,10781450,9807869,1914468,847445,1067023,18674851,9934005,8740846,3854760,2068456,1786304,12747397,6750227,5997170,1760770,941376,819394,0,0,0,0,0,0
43,00,000,INDIA,Rural,13,17490173,9024384,8465789,1426662,604308,822354,16063511,8420076,7643435,1787562,944703,842859,9570977,5018163,4552814,4432780,2309307,2123473,0,0,0,0,0,0
44,00,000,INDIA,Rural,14,18185923,9462968,8722955,1657852,704596,953256,16528071,8758372,7769699,1234250,647300,586950,6355341,3366476,2988865,8618361,4570751,4047610,0,0,0,0,0,0
45,00,000,INDIA,Rural,15,18593646,9873668,8719978,2074111,915000,1159111,16519535,8958668,7560867,1064691,574114,490577,4257247,2299605,1957642,7479667,4082445,3397222,3328023,1786264,1541759,0,0,0
46,00,000,INDIA,Rural,16,17433799,9253785,8180014,1993626,854089,1139537,15440173,8399696,7040477,938872,505127,433745,3121296,1671179,1450117,5282915,2926273,2356642,5683569,3069484,2614085,0,0,0
47,00,000,INDIA,Rural,17,14448773,7754277,6694496,1584027,654330,929697,12864746,7099947,5764799,708823,385331,323492,2219052,1197714,1021338,3218673,1809760,1408913,6330379,3493247,2837132,0,0,0
48,00,000,INDIA,Rural,18,19559614,10518623,9040991,2984146,1166342,1817804,16575468,9352281,7223187,1047262,572129,475133,3203924,1751961,1451963,3663497,2098836,1564661,8039985,4586961,3453024,0,0,0
49,00,000,INDIA,Rural,19,13866640,7170204,6696436,2041132,691050,1350082,11825508,6479154,5346354,709320,360723,348597,2158955,1111362,1047593,2383557,1308252,1075305,6089420,3444379,2645041,0,0,0
50,00,000,INDIA,Rural,20-24,73835046,38138662,35696384,15077525,4963696,10113829,58757521,33174966,25582555,4228681,2153416,2075265,12282819,6445141,5837678,12131808,6918773,5213035,21672077,12811682,8860395,5470150,3243921,2226229
