Team_name,Net-win-margin
LGD.Forever Young,19.4231
Team Liquid,19.0
PSG.LGD,14.8077
Newbee,10.5926
INVICTUS GAMING,9.5833
Virtus.pro,7.8696
OG,7.6667
Evil Geniuses,7.25
Team Empire,5.3333
iG.Vitality,3.1176
TNC Predator,2.6
Team Secret,2.0
Infamous U.esports.,-0.1176
123,-0.8947
Execration.安博电竞,-1.1765
Fnatic,-8.0
HellRaisers,-11.25
