,Team_name,Total_matches,Total_kills,Kill_avg,Total_deaths,Total_deaths_avg,KDA,Wins,Winrate,Avg_time,Unique_heros_played
0,Team Liquid,24,789,32.875,694,28.9167,1.1369,17,0.7083,2320.0416666666665,48
1,PSG.LGD,30,1027,34.2333,822,27.4,1.2494,20,0.6667,2361.6666666666665,53
2,VGJ Storm,22,649,29.5,536,24.3636,1.2108,14,0.6364,2366.409090909091,43
3,OG,29,880,30.3448,1024,35.3103,0.8594,18,0.6207,2409.551724137931,47
4,Evil Geniuses,27,940,34.8148,752,27.8519,1.25,20,0.7407,2358.5555555555557,39
5,Team Secret,26,759,29.1923,685,26.3462,1.108,13,0.5,2541.769230769231,58
6,Team Serenity,19,473,24.8947,484,25.4737,0.9773,8,0.4211,2075.842105263158,35
7,Mineski,19,469,24.6842,586,30.8421,0.8003,6,0.3158,2548.7368421052633,41
8,Winstrike,21,487,23.1905,643,30.619,0.7574,7,0.3333,2188.1428571428573,44
9,VGJ Thunder,17,454,26.7059,489,28.7647,0.9284,6,0.3529,2339.176470588235,37
10,Virtus.pro,25,793,31.72,604,24.16,1.3129,14,0.56,2333.96,46
11,Vici Gaming,20,478,23.9,529,26.45,0.9036,9,0.45,2268.4,38
12,Fnatic,17,457,26.8824,443,26.0588,1.0316,7,0.4118,2550.529411764706,39
13,TNC Predator,17,411,24.1765,468,27.5294,0.8782,7,0.4118,2595.294117647059,34
14,INVICTUS GAMING,18,438,24.3333,503,27.9444,0.8708,4,0.2222,2454.9444444444443,47
15,paiN Gaming,16,402,25.125,603,37.6875,0.6667,5,0.3125,2408.8125,43
16,Newbee,19,552,29.0526,524,27.5789,1.0534,8,0.4211,2550.1052631578946,39
