Team_name,Net-win-margin
PSG.LGD,19.6429
INVICTUS GAMING,17.28
Team Spirit,14.75
Undying,14.3529
Team Secret,13.76
T1,12.375
Virtus.pro,8.3333
Vici Gaming,7.5185
OG,6.6818
Evil Geniuses,5.85
beastcoast,3.3529
Fnatic,1.4211
Elephant,0.4118
Quincy Crew,-0.0526
Team Aster,-0.8824
Alliance,-4.6316
SG esports,-11.0625
Thunder Predator,-17.0625
