Team_name,Net-win-margin
Evil Geniuses,20.8889
Team Liquid,20.875
VGJ Storm,13.4091
PSG.LGD,13.3
OG,12.7586
Virtus.pro,12.2
Team Serenity,6.5789
Vici Gaming,5.7
Team Secret,3.6538
Newbee,3.2632
TNC Predator,2.4118
Winstrike,-0.0476
Fnatic,-1.0
paiN Gaming,-2.375
Mineski,-3.4211
VGJ Thunder,-3.5294
INVICTUS GAMING,-9.0
