Player_id,avg_kills,total_kills,lowest_death_avg,highest_assists_avg,total_assists,total_last_hits,most_last_hit_avg,total_gpm,highest_gpm_avg
94281932,9.375,225,2.5416666666666665,9.5,228,8438,351.5833333333333,15332,638.8333333333334
168028715,9.28,232,2.84,10.68,267,8858,354.32,15843,633.72
132309493,9.105263157894736,173,2.8421052631578947,7.105263157894737,135,8576,451.36842105263156,12773,672.2631578947369
480412663,9.041666666666666,217,3.6666666666666665,10.25,246,7326,305.25,13838,576.5833333333334
202217968,9.0,225,3.0,11.2,280,9243,369.72,15967,638.68
121769650,8.84,221,3.64,10.56,264,9196,367.84,15188,607.52
111620041,8.727272727272727,192,3.5454545454545454,6.909090909090909,152,7898,359.0,14236,647.0909090909091
321580662,8.583333333333334,309,2.5833333333333335,6.611111111111111,238,14758,409.94444444444446,25050,695.8333333333334
124801257,8.291666666666666,199,2.75,8.958333333333334,215,9634,401.4166666666667,16340,680.8333333333334
72312627,8.08,202,3.72,9.28,232,10095,403.8,16039,641.56
238239590,8.0,136,4.0,9.823529411764707,167,6253,367.8235294117647,10071,592.4117647058823
898754153,7.714285714285714,216,1.8571428571428572,7.607142857142857,213,11677,417.0357142857143,20238,722.7857142857143
148215639,7.470588235294118,127,3.3529411764705883,6.647058823529412,113,6270,368.8235294117647,10613,624.2941176470588
375507918,7.25,174,3.25,10.916666666666666,262,9007,375.2916666666667,14763,615.125
106863163,7.235294117647059,123,3.823529411764706,8.705882352941176,148,5957,350.4117647058824,9709,571.1176470588235
107803494,7.185185185185185,194,4.037037037037037,9.0,243,9397,348.037037037037,15387,569.8888888888889
94054712,7.136363636363637,157,5.454545454545454,9.181818181818182,202,5570,253.1818181818182,11406,518.4545454545455
277141004,7.037037037037037,190,3.3703703703703702,9.074074074074074,245,11081,410.4074074074074,17291,640.4074074074074
154715080,7.0,140,3.0,9.75,195,5679,283.95,10650,532.5
97658618,6.823529411764706,116,2.411764705882353,9.705882352941176,165,6893,405.47058823529414,10717,630.4117647058823
431770905,6.666666666666667,240,2.8333333333333335,9.5,342,11609,322.47222222222223,20849,579.1388888888889
173978074,6.571428571428571,184,2.4285714285714284,9.928571428571429,278,9119,325.67857142857144,16922,604.3571428571429
221666230,6.526315789473684,124,5.368421052631579,9.368421052631579,178,5218,274.63157894736844,9640,507.36842105263156
86745912,6.5,130,2.65,6.95,139,7327,366.35,12681,634.05
137193239,6.411764705882353,109,3.823529411764706,7.235294117647059,123,7075,416.1764705882353,10686,628.5882352941177
292921272,6.411764705882353,109,5.352941176470588,10.235294117647058,174,4131,243.0,8432,496.0
153836240,6.352941176470588,108,4.588235294117647,8.882352941176471,151,5027,295.70588235294116,9098,535.1764705882352
12231202,6.2105263157894735,118,4.578947368421052,8.789473684210526,167,5124,269.6842105263158,9408,495.1578947368421
412753955,5.894736842105263,112,3.6315789473684212,6.421052631578948,122,6871,361.63157894736844,11306,595.0526315789474
113435203,5.842105263157895,111,4.2105263157894735,10.68421052631579,203,6107,321.42105263157896,9795,515.5263157894736
164685175,5.823529411764706,99,4.352941176470588,8.117647058823529,138,7511,441.8235294117647,11626,683.8823529411765
138857296,5.8,145,3.6,12.68,317,6401,256.04,13122,524.88
373520478,5.769230769230769,75,4.538461538461538,7.615384615384615,99,4040,310.7692307692308,6777,521.3076923076923
108452107,5.578947368421052,106,3.1578947368421053,8.421052631578947,160,8739,459.94736842105266,12391,652.1578947368421
95825708,5.5,88,4.875,4.125,66,5672,354.5,8992,562.0
85937380,5.4375,87,4.125,7.8125,125,4604,287.75,7874,492.125
86822085,5.25,84,4.8125,6.125,98,6547,409.1875,9543,596.4375
59463394,4.8125,77,5.0625,5.25,84,3628,226.75,7118,444.875
126212866,4.411764705882353,75,6.117647058823529,13.176470588235293,224,3643,214.2941176470588,7407,435.70588235294116
118134220,4.357142857142857,122,3.142857142857143,12.107142857142858,339,6208,221.71428571428572,13095,467.67857142857144
134276083,4.333333333333333,117,4.925925925925926,12.222222222222221,330,6648,246.22222222222223,12506,463.18518518518516
184950344,4.208333333333333,101,4.458333333333333,12.083333333333334,290,5273,219.70833333333334,10655,443.9583333333333
73562326,4.16,104,4.96,13.72,343,4744,189.76,10612,424.48
157475523,3.9642857142857144,111,3.857142857142857,13.357142857142858,374,2350,83.92857142857143,9511,339.67857142857144
138543123,3.962962962962963,107,5.666666666666667,11.407407407407407,308,2734,101.25925925925925,8707,322.48148148148147
56351509,3.9583333333333335,95,4.416666666666667,13.416666666666666,322,5744,239.33333333333334,11460,477.5
18180970,3.789473684210526,72,6.526315789473684,11.105263157894736,211,1328,69.89473684210526,5536,291.36842105263156
89117038,3.76,94,4.24,16.2,405,1574,62.96,7692,307.68
88271237,3.727272727272727,82,6.0,12.727272727272727,280,5332,242.36363636363637,10189,463.1363636363636
117956848,3.625,58,7.125,8.8125,141,2796,174.75,6033,377.0625
302214028,3.5277777777777777,127,4.027777777777778,11.777777777777779,424,7603,211.19444444444446,16001,444.47222222222223
41231571,3.473684210526316,66,7.2105263157894735,10.578947368421053,201,2996,157.68421052631578,7261,382.1578947368421
99983413,3.473684210526316,66,4.842105263157895,11.736842105263158,223,4419,232.57894736842104,8125,427.63157894736844
84772440,3.45,69,3.55,10.7,214,4604,230.2,9347,467.35
