,Team_name,Total_matches,Total_kills,Kill_avg,Total_deaths,Total_deaths_avg,KDA,Wins,Winrate,Avg_time,Unique_heros_played
0,PSG.LGD,26,701,26.9615,481,18.5,1.4574,19,0.7308,2395.3076923076924,41
1,Virtus.pro,20,423,21.15,531,26.55,0.7966,8,0.4,2437.75,52
2,TNC Predator,21,575,27.381,585,27.8571,0.9829,10,0.4762,3058.3333333333335,43
3,Newbee,21,522,24.8571,512,24.381,1.0195,10,0.4762,2590.6190476190477,40
4,Team Secret,28,699,24.9643,605,21.6071,1.1554,18,0.6429,2311.25,58
5,Evil Geniuses,24,618,25.75,558,23.25,1.1075,12,0.5,2513.5,43
6,Vici Gaming,23,607,26.3913,508,22.087,1.1949,13,0.5652,2573.086956521739,45
7,OG,28,854,30.5,596,21.2857,1.4329,23,0.8214,2053.75,46
8,Royal Never Give Up,21,437,20.8095,508,24.1905,0.8602,9,0.4286,2298.904761904762,46
9,Team Liquid,32,807,25.2188,802,25.0625,1.0062,18,0.5625,2441.75,62
10,KEEN GAMING,17,411,24.1765,502,29.5294,0.8187,5,0.2941,2501.0,42
11,Natus Vincere,17,459,27.0,477,28.0588,0.9623,7,0.4118,2671.6470588235293,39
12,Infamous U.esports.,22,455,20.6818,620,28.1818,0.7339,10,0.4545,2204.318181818182,42
13,Mineski,20,438,21.9,476,23.8,0.9202,10,0.5,2325.3,37
14,Ninjas in Pyjamas,16,303,18.9375,408,25.5,0.7426,3,0.1875,2308.5625,40
15,Chaos EC,16,276,17.25,493,30.8125,0.5598,3,0.1875,2439.4375,57
16,Fnatic,17,414,24.3529,418,24.5882,0.9904,7,0.4118,2431.3529411764707,40
17,Alliance,17,488,28.7059,407,23.9412,1.199,8,0.4706,2454.0,39
