,Team_name,Total_matches,Total_kills,Kill_avg,Total_deaths,Total_deaths_avg,KDA,Wins,Winrate,Avg_time,Unique_heros_played
0,Team Spirit,36,851,23.6389,708,19.6667,1.202,24,0.6667,2274.0833333333335,60
1,Team Secret,25,696,27.84,559,22.36,1.2451,15,0.6,2474.2,58
2,OG,22,537,24.4091,686,31.1818,0.7828,12,0.5455,2232.7272727272725,47
3,PSG.LGD,28,696,24.8571,457,16.3214,1.523,23,0.8214,2210.9285714285716,56
4,Vici Gaming,27,667,24.7037,627,23.2222,1.0638,15,0.5556,2460.962962962963,52
5,Virtus.pro,24,634,26.4167,542,22.5833,1.1697,14,0.5833,2258.7916666666665,42
6,INVICTUS GAMING,25,720,28.8,515,20.6,1.3981,18,0.72,2391.92,45
7,Fnatic,19,453,23.8421,447,23.5263,1.0134,7,0.3684,2546.315789473684,50
8,Team Aster,17,337,19.8235,385,22.6471,0.8753,5,0.2941,2246.6470588235293,49
9,Alliance,19,410,21.5789,582,30.6316,0.7045,5,0.2632,2286.7368421052633,45
10,Elephant,17,363,21.3529,419,24.6471,0.8663,6,0.3529,2465.176470588235,39
11,Quincy Crew,19,415,21.8421,497,26.1579,0.835,7,0.3684,2488.3684210526317,53
12,T1,24,629,26.2083,482,20.0833,1.305,14,0.5833,2368.5833333333335,48
13,Evil Geniuses,20,453,22.65,379,18.95,1.1953,11,0.55,2185.95,38
14,Undying,17,420,24.7059,426,25.0588,0.9859,9,0.5294,2463.8823529411766,43
15,beastcoast,17,383,22.5294,530,31.1765,0.7226,7,0.4118,2343.3529411764707,47
16,Thunder Predator,16,273,17.0625,503,31.4375,0.5427,0,0.0,2201.1875,52
17,SG esports,16,305,19.0625,498,31.125,0.6124,2,0.125,2437.0,47
