hero,hero_pick,hero_ban,hero_contested,hero_Winrate,hero_kill_avg,hero_xpm_avg,hero_lasthit_avg
antimage,1,2,3,0.0,4.0,681.0,331.0
axe,3,3,6,0.6667,13.0,519.3333,211.6667
bane,36,19,55,0.5556,2.8056,348.7778,29.3056
bloodseeker,31,47,78,0.4839,8.7742,535.3871,268.0968
crystal_maiden,52,40,92,0.5,2.3846,359.3077,61.25
drow_ranger,29,65,94,0.6897,5.8966,556.0,278.5517
earthshaker,49,24,73,0.5918,3.5918,416.0408,75.4694
juggernaut,2,2,4,0.0,5.0,625.0,327.0
mirana,74,66,140,0.5405,8.3108,537.2703,260.1216
nevermore,6,4,10,0.5,7.1667,616.6667,475.8333
morphling,10,15,25,0.3,7.4,536.9,260.3
phantom_lancer,39,63,102,0.5385,7.3077,587.0513,336.4359
puck,2,1,3,0.0,2.0,504.0,363.5
pudge,2,1,3,0.5,6.0,370.5,43.5
razor,1,0,1,0.0,4.0,363.0,138.0
sand_king,1,0,1,0.0,1.0,274.0,68.0
storm_spirit,38,36,74,0.5,8.1842,610.9474,299.4211
sven,2,2,4,0.5,3.0,514.5,139.5
tiny,78,95,173,0.4103,8.0,509.5128,214.0
vengefulspirit,89,35,124,0.5393,2.4382,355.2697,51.3371
windrunner,20,3,23,0.2,4.55,415.6,135.6
zuus,13,8,21,0.4615,7.0769,571.3077,210.0
kunkka,16,16,32,0.625,5.6875,520.8125,187.8125
lina,41,27,68,0.561,7.5366,565.439,283.2439
lich,14,3,17,0.5,2.8571,350.7143,37.5
lion,14,2,16,0.4286,2.7857,344.0714,48.2143
shadow_shaman,10,1,11,0.4,3.0,333.0,67.1
slardar,0,0,0,0.0,0.0,0.0,0.0
tidehunter,1,0,1,1.0,4.0,511.0,151.0
witch_doctor,4,0,4,0.25,2.75,297.75,39.5
riki,3,1,4,0.3333,8.3333,557.3333,185.0
enigma,19,33,52,0.5263,4.0526,461.3158,206.2632
tinker,3,7,10,0.3333,9.3333,577.3333,590.6667
sniper,1,0,1,0.0,1.0,354.0,106.0
necrolyte,57,114,171,0.4386,7.1754,497.5088,239.2807
warlock,3,0,3,0.3333,1.0,217.3333,31.6667
beastmaster,1,0,1,1.0,3.0,625.0,195.0
queenofpain,2,2,4,1.0,8.5,577.5,187.5
venomancer,13,10,23,0.6923,4.8462,508.6923,215.4615
faceless_void,8,13,21,0.625,6.0,580.375,261.5
skeleton_king,66,63,129,0.5152,4.8636,466.7576,208.3182
death_prophet,2,0,2,0.0,3.5,457.0,220.5
phantom_assassin,2,0,2,0.0,4.0,521.0,240.0
pugna,27,78,105,0.5185,7.0,487.4074,195.1481
templar_assassin,26,33,59,0.5385,8.3077,637.9231,365.2308
viper,2,1,3,0.5,6.0,490.5,163.0
luna,3,2,5,0.3333,7.0,560.6667,387.0
dragon_knight,26,24,50,0.4231,4.2308,501.8462,240.2692
dazzle,0,0,0,0.0,0.0,0.0,0.0
rattletrap,8,14,22,0.375,4.75,371.25,71.25
leshrac,5,3,8,0.4,8.0,608.2,296.0
furion,33,49,82,0.4545,4.7273,442.2121,252.3636
life_stealer,2,2,4,0.5,4.5,454.0,176.5
dark_seer,0,0,0,0.0,0.0,0.0,0.0
clinkz,51,54,105,0.4902,9.2549,535.8039,223.3137
omniknight,1,3,4,0.0,0.0,246.0,88.0
enchantress,34,150,184,0.5588,7.6176,484.4706,165.6471
huskar,17,65,82,0.2941,6.4118,504.2353,242.5294
night_stalker,1,0,1,0.0,5.0,291.0,89.0
broodmother,18,91,109,0.6667,9.3889,668.0556,304.7778
bounty_hunter,2,2,4,0.0,3.0,310.5,16.0
weaver,62,117,179,0.5806,8.8387,641.5484,229.6774
jakiro,5,0,5,0.4,1.6,446.6,123.8
batrider,11,15,26,0.6364,5.4545,450.2727,144.6364
chen,26,61,87,0.5385,3.0,308.0,69.5385
spectre,35,43,78,0.5429,7.6286,586.8857,300.6
doom_bringer,5,0,5,0.6,4.4,431.0,126.6
ancient_apparition,3,2,5,0.6667,3.3333,369.3333,45.0
ursa,51,50,101,0.4314,8.2157,503.1569,189.2157
spirit_breaker,2,1,3,1.0,2.5,398.0,21.0
gyrocopter,34,9,43,0.5294,9.5882,552.5,343.1471
alchemist,26,34,60,0.4615,5.7308,581.4615,397.5
invoker,24,29,53,0.6667,9.4583,556.625,223.4583
silencer,58,107,165,0.5,2.7931,329.3276,53.6897
obsidian_destroyer,1,3,4,0.0,4.0,451.0,285.0
lycan,8,18,26,0.5,5.0,486.25,225.75
brewmaster,13,8,21,0.6154,3.9231,463.6154,155.0
shadow_demon,8,3,11,0.375,2.375,350.125,93.125
lone_druid,3,2,5,0.6667,2.0,418.0,258.6667
chaos_knight,1,0,1,0.0,14.0,634.0,496.0
meepo,3,20,23,1.0,7.3333,843.6667,423.3333
treant,10,6,16,0.5,1.4,356.7,75.9
ogre_magi,18,4,22,0.5556,2.9444,346.0,26.6667
undying,29,40,69,0.5862,2.069,318.2414,38.2069
rubick,14,4,18,0.2143,3.1429,402.1429,93.2143
disruptor,5,0,5,0.0,1.4,264.6,43.6
nyx_assassin,20,26,46,0.65,2.65,409.0,37.9
naga_siren,1,0,1,1.0,0.0,456.0,206.0
keeper_of_the_light,4,3,7,0.75,2.75,407.0,170.0
wisp,33,140,173,0.3939,2.7273,497.2727,63.1515
visage,8,24,32,0.375,6.75,508.0,231.0
slark,0,0,0,0.0,0.0,0.0,0.0
medusa,6,3,9,0.5,6.1667,676.8333,427.8333
troll_warlord,5,1,6,0.4,7.0,593.6,264.4
centaur,8,4,12,0.25,2.875,406.0,181.75
magnataur,6,3,9,0.1667,2.1667,466.8333,153.5
shredder,5,3,8,0.6,10.0,690.0,394.8
bristleback,3,1,4,0.6667,3.6667,577.6667,300.3333
tusk,15,7,22,0.5333,3.3333,429.3333,62.6
skywrath_mage,1,2,3,0.0,3.0,321.0,99.0
abaddon,2,1,3,0.0,2.0,377.0,144.0
elder_titan,11,9,20,0.2727,3.1818,360.2727,56.7273
legion_commander,6,5,11,0.5,5.0,433.0,140.8333
ember_spirit,10,6,16,0.5,7.4,591.8,297.3
earth_spirit,20,3,23,0.5,4.0,385.55,47.1
terrorblade,17,10,27,0.4706,7.4118,565.2941,437.3529
phoenix,28,15,43,0.6071,4.3571,453.8214,95.7143
oracle,10,2,12,0.3,3.7,338.3,33.7
techies,0,1,1,0.0,0.0,0.0,0.0
winter_wyvern,55,30,85,0.5273,3.4727,411.0909,105.4909
arc_warden,9,24,33,0.6667,6.3333,491.1111,313.3333
abyssal_underlord,7,1,8,0.2857,1.5714,457.7143,215.2857
monkey_king,10,8,18,0.2,7.8,551.3,291.7
pangolier,15,4,19,0.3333,4.6,545.4,245.6667
dark_willow,66,34,100,0.5606,5.1364,420.4091,57.8939
grimstroke,0,0,0,0.0,0.0,0.0,0.0
mars,0,0,0,0.0,0.0,0.0,0.0
void_spirit,0,0,0,0.0,0.0,0.0,0.0
snapfire,0,0,0,0.0,0.0,0.0,0.0
hoodwink,0,0,0,0.0,0.0,0.0,0.0
dawnbreaker,0,0,0,0.0,0.0,0.0,0.0
marci,0,0,0,0.0,0.0,0.0,0.0
