Player_id,avg_kills,total_kills,lowest_death_avg,highest_assists_avg,total_assists,total_last_hits,most_last_hit_avg,total_gpm,highest_gpm_avg
105248644,11.0,264,5.166666666666667,9.5,228,7181,299.2083333333333,15022,625.9166666666666
111620041,10.222222222222221,276,4.481481481481482,13.333333333333334,360,8170,302.5925925925926,16725,619.4444444444445
106863163,9.833333333333334,295,4.433333333333334,10.933333333333334,328,9436,314.53333333333336,18151,605.0333333333333
86745912,9.62962962962963,260,4.7407407407407405,12.481481481481481,337,6615,245.0,14624,541.6296296296297
132851371,9.52,238,4.08,11.28,282,6998,279.92,13961,558.44
149486894,9.105263157894736,173,4.473684210526316,11.31578947368421,215,6474,340.7368421052632,10732,564.8421052631579
86725175,9.090909090909092,200,3.0454545454545454,10.136363636363637,223,7407,336.6818181818182,13204,600.1818181818181
311360822,8.96551724137931,260,6.344827586206897,11.862068965517242,344,8638,297.86206896551727,16391,565.2068965517242
125581247,8.633333333333333,259,4.633333333333334,11.0,330,9761,325.3666666666667,18166,605.5333333333333
106573901,8.56,214,3.44,11.04,276,6828,273.12,13989,559.56
72312627,8.333333333333334,200,5.25,11.291666666666666,271,5430,226.25,12641,526.7083333333334
108452107,8.272727272727273,182,3.727272727272727,10.318181818181818,227,6495,295.22727272727275,12157,552.5909090909091
108382060,8.176470588235293,139,3.8823529411764706,11.294117647058824,192,5197,305.70588235294116,9492,558.3529411764706
154715080,8.117647058823529,138,3.7058823529411766,8.588235294117647,146,5251,308.88235294117646,8980,528.2352941176471
117281554,8.105263157894736,154,3.6842105263157894,12.421052631578947,236,6003,315.94736842105266,10255,539.7368421052631
86700461,8.0,128,6.375,7.625,122,4324,270.25,8694,543.375
94054712,7.9655172413793105,231,7.275862068965517,11.137931034482758,323,7085,244.31034482758622,14976,516.4137931034483
97590558,7.8076923076923075,203,4.730769230769231,10.653846153846153,277,7268,279.53846153846155,13312,512.0
164532005,7.705882352941177,131,4.647058823529412,7.411764705882353,126,5480,322.3529411764706,9368,551.0588235294117
89871557,7.526315789473684,143,4.894736842105263,8.842105263157896,168,5830,306.8421052631579,9893,520.6842105263158
41231571,7.407407407407407,200,4.703703703703703,14.703703703703704,397,5078,188.07407407407408,12649,468.48148148148147
94738847,7.366666666666666,221,5.2,13.266666666666667,398,5984,199.46666666666667,13550,451.6666666666667
250114507,7.333333333333333,154,4.761904761904762,7.142857142857143,150,6047,287.95238095238096,11374,541.6190476190476
107803494,7.2,144,4.0,7.25,145,4990,249.5,9787,489.35
86799300,7.153846153846154,186,5.115384615384615,11.923076923076923,310,5981,230.03846153846155,12028,462.61538461538464
157475523,7.105263157894737,135,3.5789473684210527,8.947368421052632,170,4568,240.42105263157896,9701,510.57894736842104
130416036,7.0,126,4.722222222222222,8.555555555555555,154,5037,279.8333333333333,8789,488.27777777777777
221666230,6.916666666666667,166,4.416666666666667,8.458333333333334,203,6659,277.4583333333333,13540,564.1666666666666
