hero,hero_pick,hero_ban,hero_contested,hero_Winrate,hero_kill_avg,hero_xpm_avg,hero_lasthit_avg
antimage,7,11,18,0.4286,6.5714,700.5714,512.5714
axe,22,10,32,0.5,5.6364,508.8182,195.0455
bane,9,4,13,0.3333,1.8889,305.1111,23.8889
bloodseeker,4,7,11,0.25,8.5,574.75,294.75
crystal_maiden,37,7,44,0.5676,2.6216,406.4054,83.9189
drow_ranger,3,0,3,0.0,3.0,596.3333,483.6667
earthshaker,33,8,41,0.4848,4.8182,444.0303,130.6667
juggernaut,18,13,31,0.3333,6.2222,599.9444,348.3333
mirana,45,94,139,0.5333,6.0667,489.7333,159.0889
nevermore,10,3,13,0.5,7.8,621.0,400.6
morphling,13,24,37,0.4615,9.9231,629.1538,353.1538
phantom_lancer,5,0,5,0.2,5.0,636.2,425.8
puck,4,10,14,0.25,5.75,576.0,223.0
pudge,5,1,6,0.2,2.8,484.0,175.0
razor,14,20,34,0.4286,6.2857,588.7143,312.6429
sand_king,42,24,66,0.5238,3.8333,504.881,186.9048
storm_spirit,24,19,43,0.5417,8.4167,631.2083,343.6667
sven,35,26,61,0.4857,6.3714,683.7143,406.1714
tiny,62,32,94,0.5323,6.1774,503.1452,200.2903
vengefulspirit,5,0,5,0.0,1.8,341.0,93.6
windrunner,12,3,15,0.75,5.5833,475.1667,173.0833
zuus,5,2,7,0.0,5.6,601.8,242.4
kunkka,45,81,126,0.5556,5.3333,588.0,307.3333
lina,29,28,57,0.4828,6.931,556.7241,254.8276
lich,7,0,7,0.2857,2.0,331.2857,43.7143
lion,15,3,18,0.4667,3.0,388.6667,56.6667
shadow_shaman,29,11,40,0.5172,2.2414,452.0,91.4483
slardar,6,1,7,0.6667,5.0,551.6667,166.0
tidehunter,45,32,77,0.6222,2.5111,543.5111,200.0889
witch_doctor,15,0,15,0.4667,4.0667,353.9333,42.6667
riki,1,0,1,0.0,9.0,452.0,283.0
enigma,18,31,49,0.5,2.8889,475.2778,236.0
tinker,5,3,8,0.8,8.2,643.8,367.8
sniper,5,8,13,0.4,8.2,665.8,535.6
necrolyte,6,5,11,0.5,6.1667,596.1667,344.8333
warlock,25,10,35,0.48,1.92,366.32,56.04
beastmaster,23,28,51,0.4348,2.7391,531.1739,198.4348
queenofpain,12,15,27,0.4167,10.4167,608.1667,320.5833
venomancer,2,0,2,0.0,3.0,461.5,210.5
faceless_void,26,40,66,0.6154,8.6154,669.8077,394.3846
skeleton_king,26,10,36,0.5,4.8077,643.3462,382.9615
death_prophet,15,13,28,0.3333,7.6,577.5333,241.3333
phantom_assassin,12,4,16,0.4167,6.5833,687.75,411.6667
pugna,7,9,16,0.2857,5.8571,468.2857,166.8571
templar_assassin,19,11,30,0.6842,10.3158,735.4211,460.6316
viper,4,2,6,0.5,7.0,591.75,256.25
luna,1,0,1,0.0,5.0,683.0,584.0
dragon_knight,10,3,13,0.6,6.8,598.7,334.1
dazzle,4,9,13,0.25,3.5,452.75,250.25
rattletrap,0,1,1,0.0,0.0,0.0,0.0
leshrac,49,83,132,0.5102,6.4694,567.7143,298.4694
furion,6,5,11,0.5,5.1667,573.0,337.6667
life_stealer,42,65,107,0.4286,6.2619,648.9048,374.3095
dark_seer,5,5,10,0.8,4.8,495.0,211.0
clinkz,1,0,1,0.0,5.0,475.0,137.0
omniknight,22,34,56,0.4091,1.8182,459.1818,127.4545
enchantress,36,131,167,0.5833,6.3889,501.0278,164.5833
huskar,2,2,4,0.0,5.0,536.5,356.0
night_stalker,1,0,1,1.0,4.0,384.0,87.0
broodmother,13,57,70,0.3846,6.2308,782.8462,397.5385
bounty_hunter,2,1,3,0.0,1.5,365.5,50.5
weaver,7,3,10,0.2857,8.0,750.7143,426.4286
jakiro,17,1,18,0.3529,3.2941,408.7059,108.2941
batrider,13,41,54,0.5385,3.3077,488.8462,176.1538
chen,24,85,109,0.7083,1.7083,412.9167,93.625
spectre,10,16,26,0.5,6.7,679.2,386.0
doom_bringer,3,0,3,0.3333,3.0,461.0,175.0
ancient_apparition,36,56,92,0.5278,3.1944,370.8611,46.3333
ursa,0,1,1,0.0,0.0,0.0,0.0
spirit_breaker,2,3,5,0.5,1.0,231.5,19.5
gyrocopter,52,53,105,0.6154,8.6923,615.5385,387.5962
alchemist,33,139,172,0.6061,7.5152,665.2121,396.3636
invoker,26,17,43,0.5385,4.6923,482.3077,144.6538
silencer,11,6,17,0.2727,2.7273,336.0909,56.9091
obsidian_destroyer,18,61,79,0.3333,6.5,634.7222,361.8889
lycan,1,3,4,0.0,4.0,418.0,204.0
brewmaster,2,1,3,0.0,1.0,406.0,177.0
shadow_demon,70,83,153,0.5571,2.5286,414.8429,63.0286
lone_druid,6,19,25,0.0,2.0,439.3333,239.8333
chaos_knight,1,1,2,0.0,7.0,641.0,375.0
meepo,7,21,28,0.7143,11.1429,741.5714,368.4286
treant,9,28,37,0.7778,3.1111,439.4444,63.1111
ogre_magi,62,64,126,0.4355,2.0645,421.6935,84.871
undying,1,0,1,0.0,0.0,293.0,37.0
rubick,40,26,66,0.6,3.95,452.75,120.125
disruptor,4,0,4,0.0,1.75,286.75,35.0
nyx_assassin,11,14,25,0.4545,1.2727,319.6364,32.3636
naga_siren,15,60,75,0.6,4.6667,605.8,567.0667
keeper_of_the_light,0,1,1,0.0,0.0,0.0,0.0
wisp,16,40,56,0.75,3.8125,562.0625,145.8125
visage,5,4,9,0.6,3.6,391.6,78.4
slark,26,48,74,0.4615,7.5769,638.7692,338.6154
medusa,8,9,17,0.625,4.5,690.875,393.625
troll_warlord,8,3,11,0.375,7.0,598.125,329.5
centaur,27,22,49,0.5185,3.8519,529.3333,246.4074
magnataur,21,77,98,0.4286,1.6667,441.0952,110.9048
shredder,15,26,41,0.4,5.9333,563.4,235.7333
bristleback,13,10,23,0.4615,4.9231,563.6923,269.2308
tusk,9,2,11,0.5556,2.7778,409.3333,57.6667
skywrath_mage,3,0,3,0.6667,7.6667,490.0,65.3333
abaddon,22,5,27,0.6364,2.9091,556.3636,142.1818
elder_titan,75,60,135,0.56,2.4,359.9733,46.52
legion_commander,11,9,20,0.5455,4.7273,547.7273,165.0909
ember_spirit,42,59,101,0.4762,7.7381,613.5952,267.5714
earth_spirit,20,3,23,0.55,3.15,401.25,57.8
terrorblade,7,3,10,0.4286,4.4286,592.5714,442.8571
phoenix,6,1,7,0.1667,3.0,419.8333,128.8333
oracle,13,20,33,0.6154,2.7692,398.8462,32.5385
techies,2,6,8,0.0,7.0,347.0,125.5
winter_wyvern,3,1,4,1.0,1.6667,436.0,79.3333
arc_warden,8,7,15,0.5,7.75,621.5,530.375
abyssal_underlord,5,0,5,0.4,3.8,550.0,279.4
monkey_king,6,8,14,0.6667,12.3333,722.6667,286.6667
pangolier,14,7,21,0.3571,3.5,496.7857,154.9286
dark_willow,18,14,32,0.5,4.7778,432.1111,60.7222
grimstroke,33,6,39,0.3333,2.4242,368.5152,84.2727
mars,8,3,11,0.125,7.5,481.25,224.0
void_spirit,0,0,0,0.0,0.0,0.0,0.0
snapfire,0,0,0,0.0,0.0,0.0,0.0
hoodwink,0,0,0,0.0,0.0,0.0,0.0
dawnbreaker,0,0,0,0.0,0.0,0.0,0.0
marci,0,0,0,0.0,0.0,0.0,0.0
