Team_name,Net-win-margin
OG,22.8571
PSG.LGD,16.2692
Team Secret,12.3214
TNC Predator,10.3333
Team Liquid,9.9062
Vici Gaming,9.5217
Newbee,8.7619
Mineski,8.4
Evil Geniuses,6.3333
Alliance,3.8824
Infamous U.esports.,3.5909
Natus Vincere,1.8235
Virtus.pro,1.35
Royal Never Give Up,0.4286
Fnatic,-3.2941
Chaos EC,-4.25
Ninjas in Pyjamas,-5.8125
KEEN GAMING,-6.4118
