hero,hero_pick,hero_ban,hero_contested,hero_Winrate,hero_kill_avg,hero_xpm_avg,hero_lasthit_avg
antimage,9,5,14,0.3333,5.0,574.3333,443.7778
axe,37,30,67,0.5405,6.2973,422.7568,166.2162
bane,4,2,6,0.5,2.75,260.75,24.25
bloodseeker,0,0,0,0.0,0.0,0.0,0.0
crystal_maiden,4,1,5,0.25,3.0,330.75,67.75
drow_ranger,43,79,122,0.5814,5.2558,466.6279,243.2558
earthshaker,1,0,1,0.0,0.0,233.0,71.0
juggernaut,37,37,74,0.5135,7.1081,515.1892,318.8378
mirana,81,53,134,0.5432,6.5432,465.7037,249.4938
nevermore,1,0,1,1.0,8.0,520.0,452.0
morphling,25,34,59,0.64,7.96,533.68,379.84
phantom_lancer,8,4,12,0.75,5.5,495.375,281.5
puck,6,6,12,0.6667,5.3333,519.3333,184.5
pudge,3,0,3,0.0,2.3333,231.6667,37.6667
razor,19,16,35,0.6316,5.8947,504.5789,235.5789
sand_king,28,29,57,0.6071,3.7143,387.0357,149.25
storm_spirit,13,28,41,0.4615,8.2308,551.7692,256.1538
sven,16,11,27,0.5625,6.125,532.6875,332.125
tiny,5,1,6,0.2,5.4,455.6,261.6
vengefulspirit,30,9,39,0.4667,2.0333,277.5333,39.4333
windrunner,2,0,2,0.0,4.5,354.0,92.0
zuus,2,2,4,1.0,5.5,421.0,117.5
kunkka,34,25,59,0.6176,2.1471,315.2941,83.2941
lina,0,0,0,0.0,0.0,0.0,0.0
lich,10,9,19,0.4,1.5,259.2,24.5
lion,15,8,23,0.4,2.0667,265.8,46.6
shadow_shaman,7,0,7,0.5714,2.5714,320.0,103.8571
slardar,28,17,45,0.5357,2.6071,362.6786,107.7143
tidehunter,16,13,29,0.375,2.0625,396.0625,148.875
witch_doctor,12,2,14,0.3333,3.0833,257.5833,39.3333
riki,15,43,58,0.4667,3.1333,266.7333,23.1333
enigma,3,0,3,0.3333,0.3333,283.3333,150.3333
tinker,10,22,32,0.3,5.5,442.2,294.8
sniper,1,0,1,0.0,0.0,341.0,142.0
necrolyte,1,1,2,0.0,8.0,397.0,307.0
warlock,7,4,11,0.5714,3.5714,265.0,86.8571
beastmaster,35,30,65,0.4571,3.1429,382.9429,179.1714
queenofpain,8,4,12,0.5,8.75,549.0,232.25
venomancer,5,0,5,0.4,2.6,336.6,157.6
faceless_void,48,24,72,0.5208,4.3958,433.4167,175.7917
skeleton_king,1,0,1,0.0,1.0,435.0,121.0
death_prophet,16,25,41,0.5,7.0,494.1875,217.0625
