hero,hero_pick,hero_ban,hero_contested,hero_Winrate,hero_kill_avg,hero_xpm_avg,hero_lasthit_avg
phantom_assassin,9,4,13,0.6667,10.8889,520.6667,193.8889
pugna,1,0,1,0.0,2.0,328.0,291.0
templar_assassin,10,6,16,0.3,4.2,515.7,220.3
viper,3,9,12,1.0,6.0,431.6667,121.6667
luna,12,17,29,0.5,4.75,494.1667,254.75
dragon_knight,11,4,15,0.3636,4.1818,418.0909,171.3636
dazzle,29,21,50,0.3448,1.5517,257.5172,56.0
rattletrap,0,0,0,0.0,0.0,0.0,0.0
leshrac,0,0,0,0.0,0.0,0.0,0.0
furion,8,5,13,0.375,4.0,452.0,223.125
life_stealer,31,25,56,0.3226,6.871,444.3226,216.1935
dark_seer,15,22,37,0.3333,3.8667,377.2,197.2667
clinkz,3,0,3,0.0,5.6667,434.3333,178.0
omniknight,1,1,2,0.0,1.0,301.0,96.0
enchantress,17,20,37,0.1765,3.5882,273.4706,88.0588
huskar,20,58,78,0.55,6.8,430.8,197.35
night_stalker,11,2,13,0.4545,3.1818,335.7273,100.4545
broodmother,4,14,18,0.75,4.0,540.5,277.75
bounty_hunter,24,24,48,0.625,2.8333,281.2917,18.875
weaver,4,10,14,0.0,4.5,473.5,278.0
jakiro,1,0,1,0.0,3.0,329.0,211.0
batrider,71,55,126,0.4789,4.0141,367.0845,131.9014
chen,14,20,34,0.6429,2.6429,286.6429,135.9286
spectre,1,1,2,1.0,9.0,556.0,275.0
doom_bringer,2,0,2,0.5,4.5,398.0,157.5
ancient_apparition,5,17,22,0.8,5.6,385.0,60.0
ursa,15,18,33,0.7333,10.4667,504.8667,167.8
spirit_breaker,5,1,6,0.6,2.6,282.0,13.6
gyrocopter,2,0,2,0.5,5.0,422.5,264.5
alchemist,29,56,85,0.2759,4.1034,545.931,402.7586
invoker,20,23,43,0.5,6.55,480.85,214.6
silencer,6,0,6,0.3333,3.5,292.8333,64.6667
obsidian_destroyer,2,2,4,1.0,14.0,571.0,168.0
lycan,4,6,10,0.0,3.75,461.5,265.75
brewmaster,3,0,3,0.3333,3.6667,444.3333,147.3333
shadow_demon,60,60,120,0.5833,3.0833,264.8,80.85
lone_druid,7,14,21,0.7143,3.7143,511.8571,400.0
chaos_knight,2,0,2,1.0,5.0,475.5,170.5
meepo,1,1,2,0.0,4.0,531.0,255.0
treant,0,0,0,0.0,0.0,0.0,0.0
ogre_magi,49,21,70,0.4286,1.5714,273.0408,40.1224
undying,12,5,17,0.75,3.0833,325.6667,46.1667
rubick,16,4,20,0.5,2.375,280.125,53.0
disruptor,13,6,19,0.5385,1.8462,251.3077,33.9231
nyx_assassin,26,22,48,0.6154,2.5769,336.1538,63.9615
naga_siren,25,71,96,0.52,2.48,363.88,361.2
keeper_of_the_light,29,31,60,0.4828,1.3448,269.2759,109.4138
wisp,29,95,124,0.4828,2.1034,269.3448,33.5862
visage,0,0,0,0.0,0.0,0.0,0.0
slark,25,25,50,0.52,8.96,586.08,304.24
medusa,10,4,14,0.7,5.3,540.3,293.9
troll_warlord,1,0,1,0.0,6.0,433.0,115.0
centaur,1,0,1,1.0,4.0,379.0,64.0
magnataur,5,2,7,0.6,3.8,417.4,135.4
shredder,47,40,87,0.5319,7.6809,540.4255,323.2128
bristleback,6,1,7,0.6667,4.6667,485.5,193.1667
tusk,2,0,2,0.0,2.0,196.5,37.0
skywrath_mage,14,0,14,0.5,4.5,291.8571,42.8571
abaddon,4,1,5,1.0,3.75,382.25,101.5
elder_titan,49,87,136,0.6531,2.1429,287.3878,61.4286
legion_commander,7,1,8,0.2857,4.0,400.7143,187.0
ember_spirit,14,7,21,0.4286,8.7143,598.5714,370.5714
earth_spirit,16,7,23,0.1875,1.5,223.8125,35.375
terrorblade,18,16,34,0.3889,6.0556,420.5,359.8333
phoenix,5,1,6,0.0,2.6,299.0,60.0
oracle,48,44,92,0.5208,4.0625,260.8125,34.1458
techies,1,0,1,0.0,1.0,312.0,81.0
winter_wyvern,9,9,18,0.6667,3.1111,303.8889,82.3333
arc_warden,0,0,0,0.0,0.0,0.0,0.0
abyssal_underlord,0,0,0,0.0,0.0,0.0,0.0
monkey_king,0,0,0,0.0,0.0,0.0,0.0
pangolier,0,0,0,0.0,0.0,0.0,0.0
dark_willow,0,0,0,0.0,0.0,0.0,0.0
grimstroke,0,0,0,0.0,0.0,0.0,0.0
mars,0,0,0,0.0,0.0,0.0,0.0
void_spirit,0,0,0,0.0,0.0,0.0,0.0
snapfire,0,0,0,0.0,0.0,0.0,0.0
hoodwink,0,0,0,0.0,0.0,0.0,0.0
dawnbreaker,0,0,0,0.0,0.0,0.0,0.0
marci,0,0,0,0.0,0.0,0.0,0.0
