match_id,result,Ban_T1_1,Ban_T1_2,Ban_T1_3,Ban_T1_4,Ban_T1_5,Ban_T2_1,Ban_T2_2,Ban_T2_3,Ban_T2_4,Ban_T2_5,Pick_T1_1,Pick_T1_2,Pick_T1_3,Pick_T1_4,Pick_T1_5,Pick_T2_1,Pick_T2_2,Pick_T2_3,Pick_T2_4,Pick_T2_5
3362113115,Radiant,91.0,7.0,61.0,80.0,106.0,114.0,13.0,43.0,104.0,46.0,60.0,77.0,65.0,68.0,73.0,100.0,92.0,99.0,63.0,74.0
3362175204,Radiant,13.0,60.0,65.0,88.0,55.0,91.0,7.0,36.0,98.0,61.0,90.0,99.0,68.0,70.0,114.0,77.0,73.0,32.0,31.0,16.0
3362247584,Dire,13.0,60.0,55.0,77.0,34.0,91.0,90.0,61.0,36.0,74.0,68.0,41.0,28.0,80.0,106.0,7.0,87.0,107.0,18.0,25.0
3362331228,Radiant,13.0,7.0,45.0,77.0,6.0,88.0,31.0,63.0,73.0,4.0,16.0,87.0,40.0,102.0,76.0,9.0,89.0,23.0,53.0,98.0
3362390555,Dire,88.0,31.0,65.0,18.0,75.0,13.0,7.0,53.0,58.0,25.0,16.0,77.0,87.0,33.0,36.0,107.0,27.0,39.0,99.0,4.0
3363973439,Radiant,65.0,88.0,12.0,39.0,34.0,31.0,7.0,43.0,63.0,94.0,60.0,53.0,50.0,109.0,13.0,89.0,64.0,16.0,15.0,73.0
3364084016,Radiant,88.0,75.0,12.0,39.0,59.0,31.0,60.0,7.0,43.0,73.0,41.0,68.0,23.0,53.0,99.0,65.0,89.0,111.0,16.0,61.0
3364162010,Radiant,97.0,65.0,41.0,69.0,94.0,55.0,77.0,39.0,43.0,75.0,60.0,5.0,18.0,57.0,25.0,23.0,31.0,38.0,95.0,36.0
3364210383,Radiant,97.0,65.0,45.0,99.0,18.0,55.0,60.0,58.0,47.0,35.0,41.0,84.0,16.0,66.0,40.0,88.0,90.0,7.0,52.0,95.0
3366166505,Dire,88.0,16.0,63.0,50.0,106.0,43.0,77.0,73.0,107.0,1.0,31.0,104.0,114.0,40.0,12.0,60.0,13.0,5.0,70.0,35.0
3366236403,Radiant,88.0,60.0,40.0,54.0,94.0,43.0,73.0,104.0,25.0,77.0,31.0,107.0,4.0,55.0,106.0,13.0,16.0,6.0,92.0,76.0
3366289447,Dire,88.0,13.0,109.0,99.0,106.0,43.0,31.0,65.0,73.0,25.0,77.0,60.0,114.0,112.0,34.0,107.0,4.0,29.0,50.0,17.0
3366363258,Dire,60.0,31.0,53.0,50.0,65.0,91.0,84.0,35.0,66.0,106.0,16.0,41.0,37.0,55.0,70.0,107.0,43.0,86.0,10.0,29.0
3366419778,Dire,31.0,60.0,50.0,43.0,94.0,91.0,84.0,65.0,55.0,61.0,16.0,87.0,36.0,77.0,47.0,107.0,53.0,68.0,41.0,45.0
3370054178,Dire,88.0,40.0,99.0,29.0,1.0,43.0,65.0,13.0,69.0,41.0,60.0,31.0,63.0,94.0,7.0,107.0,4.0,50.0,2.0,35.0
3370154221,Radiant,88.0,40.0,31.0,13.0,39.0,43.0,65.0,109.0,81.0,94.0,60.0,50.0,38.0,56.0,17.0,107.0,4.0,37.0,99.0,45.0
3370213472,Dire,88.0,40.0,31.0,13.0,76.0,43.0,65.0,109.0,81.0,38.0,60.0,50.0,99.0,10.0,57.0,107.0,4.0,87.0,2.0,11.0
3362458643,Dire,88.0,41.0,74.0,18.0,6.0,13.0,31.0,39.0,57.0,27.0,16.0,77.0,51.0,11.0,75.0,30.0,65.0,86.0,46.0,12.0
3362526195,Radiant,88.0,13.0,43.0,18.0,77.0,68.0,23.0,63.0,12.0,95.0,60.0,87.0,104.0,39.0,41.0,65.0,50.0,69.0,49.0,113.0
3362609879,Dire,73.0,53.0,43.0,109.0,17.0,75.0,12.0,104.0,65.0,18.0,47.0,60.0,31.0,7.0,95.0,50.0,100.0,78.0,81.0,74.0
3362675038,Dire,6.0,82.0,45.0,33.0,36.0,88.0,31.0,65.0,63.0,13.0,16.0,27.0,18.0,55.0,17.0,89.0,9.0,71.0,43.0,54.0
3364267872,Radiant,91.0,7.0,80.0,77.0,12.0,88.0,60.0,18.0,65.0,61.0,86.0,71.0,36.0,39.0,6.0,90.0,99.0,100.0,70.0,13.0
3364308762,Radiant,88.0,7.0,18.0,109.0,74.0,91.0,90.0,61.0,53.0,98.0,60.0,77.0,111.0,40.0,73.0,30.0,65.0,28.0,81.0,12.0
3364351128,Dire,91.0,7.0,99.0,59.0,18.0,88.0,60.0,68.0,6.0,77.0,86.0,71.0,53.0,39.0,48.0,90.0,36.0,30.0,104.0,95.0
3364409216,Radiant,13.0,89.0,58.0,53.0,33.0,23.0,31.0,63.0,41.0,76.0,7.0,68.0,65.0,18.0,106.0,16.0,9.0,112.0,12.0,74.0
3364482110,Radiant,7.0,89.0,6.0,33.0,95.0,23.0,31.0,77.0,41.0,65.0,88.0,68.0,40.0,18.0,9.0,13.0,60.0,53.0,112.0,109.0
3365858882,Radiant,65.0,88.0,18.0,89.0,12.0,73.0,60.0,78.0,10.0,17.0,31.0,107.0,36.0,96.0,74.0,5.0,16.0,55.0,48.0,39.0
3365946637,Dire,73.0,60.0,33.0,78.0,74.0,65.0,88.0,109.0,1.0,45.0,107.0,79.0,51.0,48.0,76.0,89.0,87.0,7.0,104.0,46.0
3366042233,Radiant,89.0,13.0,18.0,6.0,33.0,88.0,65.0,38.0,61.0,7.0,60.0,27.0,9.0,81.0,97.0,71.0,39.0,77.0,50.0,82.0
3366096005,Radiant,13.0,89.0,75.0,39.0,33.0,88.0,65.0,41.0,95.0,44.0,97.0,23.0,43.0,111.0,1.0,16.0,18.0,68.0,25.0,53.0
3367820228,Dire,7.0,91.0,77.0,12.0,95.0,68.0,60.0,18.0,53.0,98.0,62.0,13.0,30.0,63.0,65.0,90.0,38.0,71.0,61.0,36.0
3367897602,Radiant,68.0,7.0,18.0,39.0,15.0,91.0,90.0,41.0,77.0,46.0,55.0,28.0,111.0,54.0,59.0,60.0,65.0,87.0,1.0,13.0
3367983348,Radiant,73.0,107.0,88.0,111.0,62.0,68.0,23.0,18.0,109.0,1.0,60.0,65.0,7.0,52.0,99.0,97.0,12.0,31.0,106.0,86.0
3368083254,Radiant,107.0,73.0,12.0,74.0,106.0,60.0,68.0,43.0,109.0,49.0,23.0,65.0,18.0,27.0,17.0,97.0,88.0,112.0,8.0,39.0
3368158118,Dire,91.0,7.0,61.0,80.0,106.0,18.0,60.0,55.0,39.0,82.0,88.0,5.0,40.0,36.0,4.0,90.0,38.0,77.0,86.0,43.0
