match_id,result,Ban_T1_1,Ban_T1_2,Ban_T1_3,Ban_T1_4,Ban_T1_5,Ban_T1_6,Ban_T2_1,Ban_T2_2,Ban_T2_3,Ban_T2_4,Ban_T2_5,Ban_T2_6,Pick_T1_1,Pick_T1_2,Pick_T1_3,Pick_T1_4,Pick_T1_5,Pick_T2_1,Pick_T2_2,Pick_T2_3,Pick_T2_4,Pick_T2_5
4070356125.0,Radiant,58.0,9.0,20.0,6.0,72.0,85.0,88.0,75.0,36.0,4.0,61.0,59.0,42.0,119.0,31.0,56.0,73.0,91.0,63.0,19.0,49.0,102.0
4070423361.0,Radiant,9.0,63.0,42.0,112.0,23.0,73.0,58.0,91.0,110.0,56.0,45.0,32.0,20.0,61.0,107.0,65.0,70.0,19.0,53.0,36.0,5.0,12.0
4070500759.0,Radiant,66.0,61.0,119.0,67.0,12.0,56.0,91.0,58.0,63.0,9.0,53.0,59.0,6.0,20.0,36.0,85.0,17.0,19.0,3.0,23.0,33.0,92.0
4070556816.0,Radiant,66.0,61.0,119.0,41.0,67.0,34.0,91.0,58.0,19.0,6.0,12.0,17.0,63.0,75.0,100.0,109.0,25.0,9.0,3.0,23.0,42.0,73.0
4072252473.0,Dire,45.0,53.0,91.0,74.0,114.0,70.0,9.0,42.0,36.0,67.0,1.0,73.0,58.0,7.0,64.0,49.0,63.0,66.0,12.0,112.0,25.0,22.0
4072354014.0,Radiant,9.0,42.0,91.0,63.0,6.0,61.0,58.0,45.0,12.0,67.0,10.0,74.0,66.0,25.0,95.0,112.0,40.0,53.0,110.0,107.0,70.0,17.0
4072441405.0,Radiant,75.0,42.0,4.0,88.0,56.0,82.0,91.0,58.0,5.0,19.0,119.0,36.0,20.0,63.0,110.0,73.0,70.0,9.0,112.0,107.0,12.0,10.0
4072509593.0,Dire,91.0,58.0,19.0,70.0,103.0,17.0,75.0,42.0,4.0,88.0,119.0,61.0,9.0,84.0,36.0,86.0,34.0,20.0,63.0,85.0,6.0,72.0
4074591870.0,Dire,23.0,75.0,6.0,63.0,40.0,25.0,61.0,66.0,20.0,10.0,5.0,59.0,58.0,7.0,31.0,36.0,12.0,91.0,72.0,3.0,19.0,52.0
4074639753.0,Dire,6.0,63.0,20.0,10.0,56.0,59.0,61.0,66.0,58.0,36.0,65.0,49.0,91.0,72.0,85.0,70.0,73.0,75.0,19.0,7.0,12.0,4.0
