,i,j
659,HR_Bhiwani,RJ_Jhunjhunu
660,HR_Charkhi Dadri,HR_Jhajjar
661,HR_Charkhi Dadri,HR_Mahendragarh
662,HR_Charkhi Dadri,HR_Rohtak
663,HR_Faridabad,HR_Gurugram
664,HR_Faridabad,HR_Palwal
665,HR_Faridabad,UP_Gautam Buddha Nagar
666,HR_Fatehabad,HR_Hisar
667,HR_Fatehabad,HR_Jind
668,HR_Fatehabad,HR_Sirsa
669,HR_Fatehabad,PB_Mansa
670,HR_Fatehabad,PB_Sangrur
671,HR_Fatehabad,RJ_Hanumangarh
672,HR_Gurugram,HR_Jhajjar
673,HR_Gurugram,HR_Nuh
674,HR_Gurugram,HR_Palwal
675,HR_Gurugram,HR_Rewari
676,HR_Hisar,HR_Jind
677,HR_Hisar,HR_Rohtak
678,HR_Hisar,RJ_Hanumangarh
679,HR_Jhajjar,HR_Mahendragarh
680,HR_Jhajjar,HR_Rewari
681,HR_Jhajjar,HR_Rohtak
682,HR_Jhajjar,HR_Sonipat
683,HR_Jind,HR_Kaithal
684,HR_Jind,HR_Karnal
685,HR_Jind,HR_Panipat
686,HR_Jind,HR_Rohtak
687,HR_Jind,HR_Sonipat
688,HR_Jind,PB_Patiala
689,HR_Jind,PB_Sangrur
690,HR_Kaithal,HR_Karnal
691,HR_Kaithal,HR_Kurukshetra
692,HR_Kaithal,PB_Patiala
693,HR_Karnal,HR_Kurukshetra
694,HR_Karnal,HR_Panipat
695,HR_Karnal,HR_Yamunanagar
696,HR_Karnal,UP_Saharanpur
697,HR_Karnal,UP_Shamli
698,HR_Kurukshetra,HR_Yamunanagar
699,HR_Kurukshetra,PB_Patiala
700,HR_Mahendragarh,HR_Rewari
701,HR_Mahendragarh,RJ_Alwar
702,HR_Mahendragarh,RJ_Jaipur
703,HR_Mahendragarh,RJ_Jhunjhunu
704,HR_Mahendragarh,RJ_Sikar
705,HR_Nuh,HR_Palwal
706,HR_Nuh,HR_Rewari
707,HR_Nuh,RJ_Alwar
708,HR_Nuh,RJ_Bharatpur
709,HR_Nuh,UP_Mathura
710,HR_Palwal,UP_Aligarh
711,HR_Palwal,UP_Gautam Buddha Nagar
712,HR_Palwal,UP_Mathura
713,HR_Panchkula,PB_S.A.S. Nagar
714,HR_Panipat,HR_Sonipat
715,HR_Panipat,UP_Baghpat
716,HR_Panipat,UP_Shamli
717,HR_Rewari,RJ_Alwar
718,HR_Rohtak,HR_Sonipat
719,HR_Sirsa,PB_Bathinda
720,HR_Sirsa,PB_Mansa
721,HR_Sirsa,PB_Sri Muktsar Sahib
722,HR_Sirsa,RJ_Hanumangarh
723,HR_Sonipat,UP_Baghpat
724,HR_Yamunanagar,UP_Saharanpur
725,JH_Bokaro,JH_Dhanbad
726,JH_Bokaro,JH_Giridih
727,JH_Bokaro,JH_Hazaribagh
728,JH_Bokaro,JH_Ramgarh
729,JH_Bokaro,WB_Purulia
730,JH_Chatra,JH_Hazaribagh
731,JH_Chatra,JH_Latehar
732,JH_Chatra,JH_Palamu
733,JH_Chatra,JH_Ranchi
734,JH_Deoghar,JH_Dumka
735,JH_Deoghar,JH_Giridih
736,JH_Deoghar,JH_Jamtara
737,JH_Dhanbad,JH_Giridih
738,JH_Dhanbad,JH_Jamtara
739,JH_Dhanbad,WB_Paschim Bardhaman
740,JH_Dhanbad,WB_Purulia
741,JH_Dumka,JH_Godda
742,JH_Dumka,JH_Jamtara
743,JH_Dumka,JH_Pakur
744,JH_Dumka,WB_Birbhum
745,JH_East Singhbhum,OR_Mayurbhanj
746,JH_East Singhbhum,WB_Jhargram
747,JH_East Singhbhum,WB_Purulia
748,JH_Garhwa,JH_Latehar
749,JH_Garhwa,JH_Palamu
750,JH_Garhwa,UP_Sonbhadra
751,JH_Giridih,JH_Hazaribagh
752,JH_Giridih,JH_Jamtara
753,JH_Giridih,JH_Koderma
754,JH_Godda,JH_Pakur
755,JH_Godda,JH_Sahibganj
756,JH_Gumla,JH_Khunti
757,JH_Gumla,JH_Latehar
758,JH_Gumla,JH_Lohardaga
759,JH_Gumla,JH_Ranchi
760,JH_Gumla,JH_Simdega
761,JH_Hazaribagh,JH_Koderma
762,JH_Hazaribagh,JH_Ramgarh
763,JH_Hazaribagh,JH_Ranchi
764,JH_Jamtara,WB_Birbhum
765,JH_Jamtara,WB_Paschim Bardhaman
766,JH_Khunti,JH_Ranchi
767,JH_Khunti,JH_Simdega
768,JH_Khunti,JH_West Singhbhum
769,JH_Latehar,JH_Lohardaga
770,JH_Latehar,JH_Palamu
771,JH_Latehar,JH_Ranchi
772,JH_Lohardaga,JH_Ranchi
773,JH_Pakur,JH_Sahibganj
774,JH_Pakur,WB_Birbhum
775,JH_Pakur,WB_Murshidabad
776,JH_Ramgarh,JH_Ranchi
777,JH_Ramgarh,WB_Purulia
778,JH_Ranchi,WB_Purulia
779,JH_Sahibganj,WB_Malda
780,JH_Sahibganj,WB_Murshidabad
781,JH_Simdega,JH_West Singhbhum
782,JH_Simdega,OR_Sundargarh
783,JH_West Singhbhum,OR_Kendujhar
784,JH_West Singhbhum,OR_Mayurbhanj
785,JH_West Singhbhum,OR_Sundargarh
786,JK_Anantnag,JK_Doda
787,JK_Anantnag,JK_Ganderbal
788,JK_Anantnag,JK_Kishtwar
789,JK_Anantnag,JK_Kulgam
790,JK_Anantnag,JK_Pulwama
791,JK_Anantnag,JK_Ramban
792,JK_Anantnag,JK_Shopiyan
793,JK_Anantnag,JK_Srinagar
794,JK_Anantnag,LA_Kargil
795,JK_Bandipora,JK_Baramulla
796,JK_Bandipora,JK_Ganderbal
797,JK_Bandipora,JK_Kupwara
798,JK_Bandipora,JK_Srinagar
799,JK_Bandipora,LA_Kargil
800,JK_Baramulla,JK_Budgam
801,JK_Baramulla,JK_Kupwara
802,JK_Baramulla,JK_Punch
803,JK_Baramulla,JK_Srinagar
804,JK_Budgam,JK_Kulgam
805,JK_Budgam,JK_Pulwama
806,JK_Budgam,JK_Punch
807,JK_Budgam,JK_Shopiyan
808,JK_Budgam,JK_Srinagar
809,JK_Doda,JK_Kathua
810,JK_Doda,JK_Kishtwar
811,JK_Doda,JK_Ramban
812,JK_Doda,JK_Udhampur
813,JK_Ganderbal,JK_Srinagar
814,JK_Ganderbal,LA_Kargil
815,JK_Jammu,JK_Rajouri
816,JK_Jammu,JK_Reasi
817,JK_Jammu,JK_Samba
818,JK_Jammu,JK_Udhampur
819,JK_Kathua,JK_Samba
820,JK_Kathua,JK_Udhampur
821,JK_Kathua,PB_Pathankot
822,JK_Kishtwar,LA_Kargil
823,JK_Kulgam,JK_Punch
824,JK_Kulgam,JK_Rajouri
825,JK_Kulgam,JK_Ramban
826,JK_Kulgam,JK_Reasi
827,JK_Kulgam,JK_Shopiyan
828,JK_Pulwama,JK_Shopiyan
829,JK_Pulwama,JK_Srinagar
830,JK_Punch,JK_Rajouri
831,JK_Punch,JK_Reasi
832,JK_Rajouri,JK_Reasi
833,JK_Ramban,JK_Reasi
834,JK_Ramban,JK_Udhampur
835,JK_Reasi,JK_Udhampur
836,JK_Samba,JK_Udhampur
837,KA_Bagalkote,KA_Belagavi
838,KA_Bagalkote,KA_Gadag
839,KA_Bagalkote,KA_Koppal
840,KA_Bagalkote,KA_Raichur
841,KA_Ballari,KA_Chitradurga
842,KA_Ballari,KA_Davanagere
843,KA_Ballari,KA_Gadag
844,KA_Ballari,KA_Haveri
845,KA_Ballari,KA_Koppal
846,KA_Ballari,KA_Raichur
847,KA_Belagavi,KA_Dharwad
848,KA_Belagavi,KA_Gadag
849,KA_Belagavi,KA_Uttara Kannada
850,KA_Belagavi,MH_Kolhapur
851,KA_Belagavi,MH_Sangli
852,KA_Belagavi,MH_Sindhudurg
853,KA_Bengaluru Rural,KA_Bengaluru Urban
854,KA_Bengaluru Rural,KA_Chikkaballapura
855,KA_Bengaluru Rural,KA_Kolar
856,KA_Bengaluru Rural,KA_Ramanagara
857,KA_Bengaluru Rural,KA_Tumakuru
858,KA_Bengaluru Rural,TN_Krishnagiri
859,KA_Bengaluru Urban,KA_Ramanagara
860,KA_Bengaluru Urban,TN_Krishnagiri
861,KA_Bidar,KA_Kalaburagi
862,KA_Bidar,MH_Latur
863,KA_Bidar,MH_Nanded
864,KA_Bidar,MH_Osmanabad
865,KA_Bidar,TG_Kamareddy
866,KA_Bidar,TG_Sangareddy
867,KA_Chamarajanagara,KA_Mandya
868,KA_Chamarajanagara,KA_Mysuru
869,KA_Chamarajanagara,KA_Ramanagara
870,KA_Chamarajanagara,KL_Wayanad
871,KA_Chamarajanagara,TN_Dharmapuri
872,KA_Chamarajanagara,TN_Erode
873,KA_Chamarajanagara,TN_Krishnagiri
874,KA_Chamarajanagara,TN_Nilgiris
875,KA_Chamarajanagara,TN_Salem
876,KA_Chikkaballapura,KA_Kolar
877,KA_Chikkaballapura,KA_Tumakuru
878,KA_Chikkamagaluru,KA_Chitradurga
879,KA_Chikkamagaluru,KA_Dakshina Kannada
880,KA_Chikkamagaluru,KA_Davanagere
881,KA_Chikkamagaluru,KA_Hassan
882,KA_Chikkamagaluru,KA_Shivamogga
883,KA_Chikkamagaluru,KA_Tumakuru
884,KA_Chikkamagaluru,KA_Udupi
885,KA_Chitradurga,KA_Davanagere
886,KA_Chitradurga,KA_Tumakuru
887,KA_Dakshina Kannada,KA_Hassan
888,KA_Dakshina Kannada,KA_Kodagu
889,KA_Dakshina Kannada,KA_Udupi
890,KA_Dakshina Kannada,KL_Kasaragod
891,KA_Davanagere,KA_Haveri
892,KA_Davanagere,KA_Shivamogga
893,KA_Dharwad,KA_Gadag
894,KA_Dharwad,KA_Haveri
895,KA_Dharwad,KA_Uttara Kannada
896,KA_Gadag,KA_Haveri
897,KA_Gadag,KA_Koppal
898,KA_Hassan,KA_Kodagu
899,KA_Hassan,KA_Mandya
900,KA_Hassan,KA_Mysuru
901,KA_Hassan,KA_Tumakuru
902,KA_Haveri,KA_Shivamogga
903,KA_Haveri,KA_Uttara Kannada
904,KA_Kalaburagi,KA_Yadgir
905,KA_Kalaburagi,MH_Osmanabad
906,KA_Kalaburagi,MH_Solapur
907,KA_Kalaburagi,TG_Narayanpet
908,KA_Kalaburagi,TG_Sangareddy
909,KA_Kalaburagi,TG_Vikarabad
910,KA_Kodagu,KA_Mysuru
911,KA_Kodagu,KL_Kannur
912,KA_Kodagu,KL_Kasaragod
913,KA_Kodagu,KL_Wayanad
914,KA_Kolar,TN_Krishnagiri
915,KA_Koppal,KA_Raichur
916,KA_Mandya,KA_Mysuru
917,KA_Mandya,KA_Ramanagara
918,KA_Mandya,KA_Tumakuru
919,KA_Mysuru,KL_Wayanad
920,KA_Raichur,KA_Yadgir
921,KA_Raichur,TG_Jogulamba Gadwal
922,KA_Raichur,TG_Narayanpet
923,KA_Ramanagara,KA_Tumakuru
924,KA_Ramanagara,TN_Krishnagiri
925,KA_Shivamogga,KA_Udupi
926,KA_Shivamogga,KA_Uttara Kannada
927,KA_Udupi,KA_Uttara Kannada
928,KA_Yadgir,TG_Narayanpet
929,KL_Alappuzha,KL_Ernakulam
930,KL_Alappuzha,KL_Kollam
931,KL_Alappuzha,KL_Kottayam
932,KL_Alappuzha,KL_Pathanamthitta
933,KL_Ernakulam,KL_Idukki
934,KL_Ernakulam,KL_Kottayam
935,KL_Ernakulam,KL_Thrissur
936,KL_Ernakulam,TN_Coimbatore
937,KL_Idukki,KL_Kottayam
938,KL_Idukki,KL_Pathanamthitta
939,KL_Idukki,TN_Coimbatore
940,KL_Idukki,TN_Dindigul
941,KL_Idukki,TN_Theni
942,KL_Idukki,TN_Tirunelveli
943,KL_Idukki,TN_Tiruppur
944,KL_Idukki,TN_Virudhunagar
945,KL_Kannur,KL_Kasaragod
946,KL_Kannur,KL_Kozhikode
947,KL_Kannur,KL_Wayanad
948,KL_Kannur,PY_Mahe
949,KL_Kollam,KL_Pathanamthitta
950,KL_Kollam,KL_Thiruvananthapuram
951,KL_Kollam,TN_Tirunelveli
952,KL_Kottayam,KL_Pathanamthitta
953,KL_Kozhikode,KL_Malappuram
954,KL_Kozhikode,KL_Wayanad
955,KL_Kozhikode,PY_Mahe
956,KL_Malappuram,KL_Palakkad
957,KL_Malappuram,KL_Thrissur
958,KL_Malappuram,KL_Wayanad
959,KL_Malappuram,TN_Nilgiris
960,KL_Palakkad,KL_Thrissur
961,KL_Palakkad,TN_Coimbatore
962,KL_Palakkad,TN_Nilgiris
963,KL_Pathanamthitta,TN_Tirunelveli
964,KL_Thiruvananthapuram,TN_Kanyakumari
965,KL_Thiruvananthapuram,TN_Tirunelveli
966,KL_Thrissur,TN_Coimbatore
967,KL_Wayanad,TN_Nilgiris
968,LA_Kargil,LA_Leh
969,MH_Ahmednagar,MH_Aurangabad
970,MH_Ahmednagar,MH_Beed
971,MH_Ahmednagar,MH_Nashik
972,MH_Ahmednagar,MH_Osmanabad
973,MH_Ahmednagar,MH_Pune
974,MH_Ahmednagar,MH_Solapur
975,MH_Ahmednagar,MH_Thane
976,MH_Akola,MH_Amravati
977,MH_Akola,MH_Buldhana
978,MH_Akola,MH_Washim
979,MH_Amravati,MH_Buldhana
980,MH_Amravati,MH_Nagpur
981,MH_Amravati,MH_Wardha
982,MH_Amravati,MH_Washim
983,MH_Amravati,MH_Yavatmal
984,MH_Amravati,MP_Betul
985,MH_Amravati,MP_Burhanpur
986,MH_Amravati,MP_Chhindwara
987,MH_Amravati,MP_Khandwa
988,MH_Aurangabad,MH_Beed
989,MH_Aurangabad,MH_Jalgaon
990,MH_Aurangabad,MH_Jalna
991,MH_Aurangabad,MH_Nashik
992,MH_Beed,MH_Jalna
993,MH_Beed,MH_Latur
994,MH_Beed,MH_Osmanabad
995,MH_Bhandara,MH_Chandrapur
996,MH_Bhandara,MH_Gadchiroli
997,MH_Bhandara,MH_Gondia
998,MH_Bhandara,MH_Nagpur
999,MH_Bhandara,MP_Balaghat
1000,MH_Buldhana,MH_Jalgaon
1001,MH_Buldhana,MH_Jalna
1002,MH_Buldhana,MH_Washim
1003,MH_Buldhana,MP_Burhanpur
1004,MH_Chandrapur,MH_Gadchiroli
1005,MH_Chandrapur,MH_Nagpur
1006,MH_Chandrapur,MH_Wardha
1007,MH_Chandrapur,MH_Yavatmal
1008,MH_Chandrapur,TG_Adilabad
1009,MH_Chandrapur,TG_Komaram Bheem
1010,MH_Dhule,MH_Jalgaon
1011,MH_Dhule,MH_Nandurbar
1012,MH_Dhule,MH_Nashik
1013,MH_Dhule,MP_Barwani
1014,MH_Gadchiroli,CT_Bijapur
1015,MH_Gadchiroli,MH_Gondia
1016,MH_Gadchiroli,TG_Jayashankar Bhupalapally
1017,MH_Gadchiroli,TG_Komaram Bheem
1018,MH_Gadchiroli,TG_Mancherial
1019,MH_Gondia,MP_Balaghat
1020,MH_Hingoli,MH_Nanded
1021,MH_Hingoli,MH_Washim
1022,MH_Hingoli,MH_Yavatmal
1023,MH_Jalgaon,MH_Jalna
1024,MH_Jalgaon,MH_Nashik
1025,MH_Jalgaon,MP_Barwani
1026,MH_Jalgaon,MP_Burhanpur
1027,MH_Jalgaon,MP_Khargone
1028,MH_Kolhapur,MH_Ratnagiri
1029,MH_Kolhapur,MH_Sangli
1030,MH_Kolhapur,MH_Sindhudurg
1031,MH_Latur,MH_Nanded
1032,MH_Latur,MH_Osmanabad
1033,MH_Mumbai,MH_Thane
1034,MH_Nagpur,MH_Wardha
1035,MH_Nagpur,MP_Balaghat
1036,MH_Nagpur,MP_Chhindwara
1037,MH_Nagpur,MP_Seoni
1038,MH_Nanded,MH_Yavatmal
1039,MH_Nanded,TG_Adilabad
1040,MH_Nanded,TG_Kamareddy
1041,MH_Nanded,TG_Nirmal
1042,MH_Nanded,TG_Nizamabad
1043,MH_Nandurbar,MP_Alirajpur
1044,MH_Nandurbar,MP_Barwani
1045,MH_Nashik,MH_Palghar
1046,MH_Nashik,MH_Thane
1047,MH_Osmanabad,MH_Solapur
1048,MH_Palghar,MH_Thane
1049,MH_Pune,MH_Raigad
1050,MH_Pune,MH_Satara
1051,MH_Pune,MH_Solapur
1052,MH_Pune,MH_Thane
1053,MH_Raigad,MH_Ratnagiri
1054,MH_Raigad,MH_Satara
1055,MH_Raigad,MH_Thane
1056,MH_Ratnagiri,MH_Sangli
1057,MH_Ratnagiri,MH_Satara
1058,MH_Ratnagiri,MH_Sindhudurg
1059,MH_Sangli,MH_Satara
1060,MH_Sangli,MH_Solapur
1061,MH_Satara,MH_Solapur
1062,MH_Wardha,MH_Yavatmal
1063,MH_Washim,MH_Yavatmal
1064,MH_Yavatmal,TG_Adilabad
1065,ML_East Garo Hills,ML_North Garo Hills
1066,ML_East Garo Hills,ML_South Garo Hills
1067,ML_East Garo Hills,ML_West Garo Hills
1068,ML_East Garo Hills,ML_West Khasi Hills
1069,ML_East Jaintia Hills,ML_West Jaintia Hills
1070,ML_East Khasi Hills,ML_Ribhoi
1071,ML_East Khasi Hills,ML_South West Khasi Hills
1072,ML_East Khasi Hills,ML_West Jaintia Hills
1073,ML_East Khasi Hills,ML_West Khasi Hills
1074,ML_North Garo Hills,ML_West Garo Hills
1075,ML_North Garo Hills,ML_West Khasi Hills
1076,ML_Ribhoi,ML_West Jaintia Hills
1077,ML_Ribhoi,ML_West Khasi Hills
1078,ML_South Garo Hills,ML_South West Khasi Hills
1079,ML_South Garo Hills,ML_West Garo Hills
1080,ML_South Garo Hills,ML_West Khasi Hills
1081,ML_South West Garo Hills,ML_West Garo Hills
1082,ML_South West Khasi Hills,ML_West Khasi Hills
1083,MN_Bishnupur,MN_Churachandpur
1084,MN_Bishnupur,MN_Imphal West
1085,MN_Bishnupur,MN_Kakching
1086,MN_Bishnupur,MN_Kangpokpi
1087,MN_Bishnupur,MN_Noney
1088,MN_Chandel,MN_Churachandpur
1089,MN_Chandel,MN_Kakching
1090,MN_Chandel,MN_Tengnoupal
1091,MN_Churachandpur,MN_Kakching
1092,MN_Churachandpur,MN_Noney
1093,MN_Churachandpur,MN_Pherzawl
1094,MN_Imphal East,MN_Imphal West
1095,MN_Imphal East,MN_Kangpokpi
1096,MN_Imphal East,MN_Thoubal
1097,MN_Imphal West,MN_Kakching
1098,MN_Imphal West,MN_Kangpokpi
1099,MN_Imphal West,MN_Thoubal
1100,MN_Jiribam,MN_Noney
1101,MN_Jiribam,MN_Pherzawl
1102,MN_Jiribam,MN_Tamenglong
1103,MN_Kakching,MN_Tengnoupal
1104,MN_Kakching,MN_Thoubal
1105,MN_Kamjong,MN_Kangpokpi
1106,MN_Kamjong,MN_Tengnoupal
1107,MN_Kamjong,MN_Ukhrul
1108,MN_Kangpokpi,MN_Noney
1109,MN_Kangpokpi,MN_Senapati
1110,MN_Kangpokpi,MN_Tamenglong
1111,MN_Kangpokpi,MN_Tengnoupal
1112,MN_Kangpokpi,MN_Thoubal
1113,MN_Kangpokpi,MN_Ukhrul
1114,MN_Noney,MN_Pherzawl
1115,MN_Noney,MN_Tamenglong
1116,MN_Pherzawl,MZ_Aizawl
1117,MN_Pherzawl,MZ_Champhai
1118,MN_Senapati,MN_Tamenglong
1119,MN_Senapati,MN_Ukhrul
1120,MN_Senapati,NL_Kohima
1121,MN_Senapati,NL_Peren
1122,MN_Senapati,NL_Phek
1123,MN_Tamenglong,NL_Peren
1124,MN_Tengnoupal,MN_Thoubal
1125,MN_Ukhrul,NL_Phek
1126,MP_Agar Malwa,MP_Rajgarh
1127,MP_Agar Malwa,MP_Ratlam
1128,MP_Agar Malwa,MP_Shajapur
1129,MP_Agar Malwa,MP_Ujjain
1130,MP_Agar Malwa,RJ_Jhalawar
1131,MP_Alirajpur,MP_Barwani
1132,MP_Alirajpur,MP_Dhar
1133,MP_Alirajpur,MP_Jhabua
1134,MP_Anuppur,MP_Dindori
1135,MP_Anuppur,MP_Shahdol
1136,MP_Anuppur,MP_Umaria
1137,MP_Ashoknagar,MP_Guna
1138,MP_Ashoknagar,MP_Sagar
1139,MP_Ashoknagar,MP_Shivpuri
1140,MP_Ashoknagar,MP_Vidisha
1141,MP_Ashoknagar,UP_Lalitpur
1142,MP_Balaghat,MP_Mandla
1143,MP_Balaghat,MP_Seoni
1144,MP_Barwani,MP_Dhar
1145,MP_Barwani,MP_Khargone
1146,MP_Betul,MP_Chhindwara
1147,MP_Betul,MP_Harda
1148,MP_Betul,MP_Hoshangabad
1149,MP_Betul,MP_Khandwa
1150,MP_Bhind,MP_Datia
1151,MP_Bhind,MP_Gwalior
1152,MP_Bhind,MP_Morena
1153,MP_Bhind,UP_Agra
1154,MP_Bhind,UP_Etawah
1155,MP_Bhind,UP_Jalaun
1156,MP_Bhind,UP_Jhansi
1157,MP_Bhopal,MP_Guna
1158,MP_Bhopal,MP_Raisen
1159,MP_Bhopal,MP_Rajgarh
1160,MP_Bhopal,MP_Sehore
1161,MP_Bhopal,MP_Vidisha
1162,MP_Burhanpur,MP_Khandwa
1163,MP_Burhanpur,MP_Khargone
1164,MP_Chhatarpur,MP_Damoh
1165,MP_Chhatarpur,MP_Panna
1166,MP_Chhatarpur,MP_Sagar
1167,MP_Chhatarpur,MP_Tikamgarh
1168,MP_Chhatarpur,UP_Banda
1169,MP_Chhatarpur,UP_Jhansi
1170,MP_Chhatarpur,UP_Lalitpur
1171,MP_Chhatarpur,UP_Mahoba
1172,MP_Chhindwara,MP_Hoshangabad
1173,MP_Chhindwara,MP_Narsinghpur
1174,MP_Chhindwara,MP_Seoni
1175,MP_Damoh,MP_Jabalpur
1176,MP_Damoh,MP_Katni
1177,MP_Damoh,MP_Narsinghpur
1178,MP_Damoh,MP_Panna
1179,MP_Damoh,MP_Sagar
1180,MP_Datia,MP_Gwalior
1181,MP_Datia,MP_Shivpuri
1182,MP_Datia,UP_Jhansi
1183,MP_Datia,UP_Lalitpur
1184,MP_Dewas,MP_Harda
1185,MP_Dewas,MP_Indore
1186,MP_Dewas,MP_Khandwa
1187,MP_Dewas,MP_Khargone
1188,MP_Dewas,MP_Sehore
1189,MP_Dewas,MP_Shajapur
1190,MP_Dewas,MP_Ujjain
1191,MP_Dhar,MP_Indore
1192,MP_Dhar,MP_Jhabua
1193,MP_Dhar,MP_Khargone
1194,MP_Dhar,MP_Ratlam
1195,MP_Dhar,MP_Ujjain
1196,MP_Dindori,MP_Jabalpur
1197,MP_Dindori,MP_Mandla
1198,MP_Dindori,MP_Umaria
1199,MP_Guna,MP_Rajgarh
1200,MP_Guna,MP_Shivpuri
1201,MP_Guna,MP_Vidisha
1202,MP_Guna,RJ_Baran
1203,MP_Guna,RJ_Jhalawar
1204,MP_Gwalior,MP_Morena
1205,MP_Gwalior,MP_Shivpuri
1206,MP_Harda,MP_Hoshangabad
1207,MP_Harda,MP_Khandwa
1208,MP_Harda,MP_Sehore
1209,MP_Hoshangabad,MP_Narsinghpur
1210,MP_Hoshangabad,MP_Raisen
1211,MP_Hoshangabad,MP_Sehore
1212,MP_Indore,MP_Khargone
1213,MP_Indore,MP_Ujjain
1214,MP_Jabalpur,MP_Katni
1215,MP_Jabalpur,MP_Mandla
1216,MP_Jabalpur,MP_Narsinghpur
1217,MP_Jabalpur,MP_Seoni
1218,MP_Jabalpur,MP_Umaria
1219,MP_Jhabua,MP_Ratlam
1220,MP_Jhabua,RJ_Banswara
1221,MP_Katni,MP_Panna
1222,MP_Katni,MP_Satna
1223,MP_Katni,MP_Umaria
1224,MP_Khandwa,MP_Khargone
1225,MP_Mandla,MP_Seoni
1226,MP_Mandsaur,MP_Neemuch
1227,MP_Mandsaur,MP_Ratlam
1228,MP_Mandsaur,RJ_Chittorgarh
1229,MP_Mandsaur,RJ_Jhalawar
1230,MP_Mandsaur,RJ_Kota
1231,MP_Mandsaur,RJ_Pratapgarh
1232,MP_Morena,MP_Sheopur
1233,MP_Morena,MP_Shivpuri
1234,MP_Morena,RJ_Dholpur
1235,MP_Morena,RJ_Karauli
1236,MP_Morena,UP_Agra
1237,MP_Narsinghpur,MP_Raisen
1238,MP_Narsinghpur,MP_Sagar
1239,MP_Narsinghpur,MP_Seoni
1240,MP_Neemuch,RJ_Bhilwara
1241,MP_Neemuch,RJ_Chittorgarh
1242,MP_Neemuch,RJ_Pratapgarh
1243,MP_Panna,MP_Satna
1244,MP_Panna,UP_Banda
1245,MP_Raisen,MP_Sagar
1246,MP_Raisen,MP_Sehore
1247,MP_Raisen,MP_Vidisha
1248,MP_Rajgarh,MP_Sehore
1249,MP_Rajgarh,MP_Shajapur
1250,MP_Rajgarh,RJ_Jhalawar
1251,MP_Ratlam,MP_Ujjain
1252,MP_Ratlam,RJ_Banswara
1253,MP_Ratlam,RJ_Jhalawar
1254,MP_Ratlam,RJ_Pratapgarh
1255,MP_Rewa,MP_Satna
1256,MP_Rewa,MP_Sidhi
1257,MP_Rewa,MP_Singrauli
1258,MP_Rewa,UP_Chitrakoot
1259,MP_Rewa,UP_Mirzapur
1260,MP_Rewa,UP_Prayagraj
1261,MP_Sagar,MP_Vidisha
1262,MP_Sagar,UP_Lalitpur
1263,MP_Satna,MP_Shahdol
1264,MP_Satna,MP_Sidhi
1265,MP_Satna,MP_Umaria
1266,MP_Satna,UP_Banda
1267,MP_Satna,UP_Chitrakoot
1268,MP_Sehore,MP_Shajapur
1269,MP_Shahdol,MP_Sidhi
1270,MP_Shahdol,MP_Umaria
1271,MP_Shajapur,MP_Ujjain
1272,MP_Sheopur,MP_Shivpuri
1273,MP_Sheopur,RJ_Baran
1274,MP_Sheopur,RJ_Karauli
1275,MP_Sheopur,RJ_Kota
1276,MP_Sheopur,RJ_Sawai Madhopur
1277,MP_Shivpuri,RJ_Baran
1278,MP_Shivpuri,UP_Jhansi
1279,MP_Shivpuri,UP_Lalitpur
1280,MP_Sidhi,MP_Singrauli
1281,MP_Singrauli,UP_Mirzapur
1282,MP_Singrauli,UP_Sonbhadra
1283,MP_Tikamgarh,UP_Jhansi
1284,MP_Tikamgarh,UP_Lalitpur
1285,MZ_Aizawl,MZ_Champhai
1286,MZ_Aizawl,MZ_Kolasib
1287,MZ_Aizawl,MZ_Lunglei
1288,MZ_Aizawl,MZ_Mamit
1289,MZ_Aizawl,MZ_Serchhip
1290,MZ_Champhai,MZ_Serchhip
1291,MZ_Kolasib,MZ_Mamit
1292,MZ_Lawngtlai,MZ_Lunglei
1293,MZ_Lawngtlai,MZ_Saiha
1294,MZ_Lunglei,MZ_Mamit
1295,MZ_Lunglei,MZ_Serchhip
1296,MZ_Mamit,TR_North Tripura
1297,NL_Dimapur,NL_Kohima
1298,NL_Dimapur,NL_Peren
1299,NL_Kiphire,NL_Phek
1300,NL_Kiphire,NL_Tuensang
1301,NL_Kiphire,NL_Zunheboto
1302,NL_Kohima,NL_Peren
1303,NL_Kohima,NL_Phek
1304,NL_Kohima,NL_Wokha
1305,NL_Kohima,NL_Zunheboto
1306,NL_Longleng,NL_Mokokchung
1307,NL_Longleng,NL_Mon
1308,NL_Longleng,NL_Tuensang
1309,NL_Mokokchung,NL_Tuensang
1310,NL_Mokokchung,NL_Wokha
1311,NL_Mokokchung,NL_Zunheboto
1312,NL_Mon,NL_Tuensang
1313,NL_Phek,NL_Zunheboto
1314,NL_Tuensang,NL_Zunheboto
1315,NL_Wokha,NL_Zunheboto
1316,OR_Angul,OR_Boudh
1317,OR_Angul,OR_Cuttack
1318,OR_Angul,OR_Deogarh
1319,OR_Angul,OR_Dhenkanal
1320,OR_Angul,OR_Kendujhar
1321,OR_Angul,OR_Nayagarh
1322,OR_Angul,OR_Sambalpur
1323,OR_Angul,OR_Subarnapur
1324,OR_Angul,OR_Sundargarh
1325,OR_Balangir,OR_Bargarh
1326,OR_Balangir,OR_Boudh
1327,OR_Balangir,OR_Kalahandi
1328,OR_Balangir,OR_Kandhamal
1329,OR_Balangir,OR_Nuapada
