place,teams
1,OG
2,Team Liquid
3,PSG.LGD
4,Team Secret
5,Evil Geniuses
6,Vici Gaming
7,Royal Never Give Up
8,Infamous
9,Virtus.pro
10,TNC Predator
11,Newbee
12,Mineski
13,Alliance
14,Fnatic
15,Keen Gaming
16,Natus Vincere
17,Chaos Esports Club
18,Ninjas in Pyjamas
