place,teams
1,Team Liquid
2,Newbee
3,LGD.Forever Young
4,LGD Gaming
5,Virtus.pro
6,Invictus Gaming
7,Team Empire
8,OG
9,Team Secret
10,Evil Geniuses
11,TNC Pro Team
12,Digital Chaos
13,Execration
14,Cloud9
15,Infamous
16,iG Vitality
17,Fnatic
18,HellRaisers
