place,teams
1,Wings Gaming
2,Digital Chaos
3,Evil Geniuses
4,Fnatic
5,EHOME
6,MVP Phoenix
7,TNC Pro Team
8,Team Liquid
9,OG
10,LGD Gaming
11,Alliance
12,Newbee
13,VG.Reborn
14,Team Secret
15,Escape Gaming
16,Natus Vincere
