place,teams
1,Team Spirit
2,PSG.LGD
3,Team Secret
4,Invictus Gaming
5,Virtus.pro
6,Vici Gaming
7,OG
8,T1
9,Fnatic
10,Quincy Crew
11,Alliance
12,Evil Geniuses
13,Team Undying
14,Team Aster
15,beastcoast
16,Elephant
17,Thunder Predator
18,SG esports
